number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_hidden_features,params_learning_rate,params_lstm_hidden,params_num_blocks,params_reduction_ratio,params_use_attention,state
0,0.8862693162734322,2025-12-07 17:48:24.722691,2025-12-07 17:49:12.492795,0 days 00:00:47.770104,128,0.6464704583099741,64,0.0020513382630874496,64,3,2,True,COMPLETE
1,0.90060566718513,2025-12-07 17:49:12.494339,2025-12-07 17:50:07.949181,0 days 00:00:55.454842,64,0.41649165607921673,128,0.0040596116104843075,64,2,2,False,COMPLETE
2,0.9679725505453828,2025-12-07 17:50:07.951042,2025-12-07 17:50:41.495328,0 days 00:00:33.544286,128,0.3682096494749166,128,0.015304852121831466,128,3,1,False,COMPLETE
3,0.9431245742361427,2025-12-07 17:50:41.496892,2025-12-07 17:51:25.913380,0 days 00:00:44.416488,64,0.6637281608315128,64,0.0017541893487450805,64,2,1,True,COMPLETE
4,0.7449310822934508,2025-12-07 17:51:25.914849,2025-12-07 17:52:34.262669,0 days 00:01:08.347820,64,0.6687496940092467,64,0.0756829206016762,64,1,1,True,COMPLETE
5,0.9132454562133061,2025-12-07 17:52:34.264160,2025-12-07 17:53:28.499176,0 days 00:00:54.235016,64,0.6208787923016159,64,0.0036464395589807202,64,1,1,True,COMPLETE
6,0.9337142410122153,2025-12-07 17:53:28.500597,2025-12-07 17:54:02.697465,0 days 00:00:34.196868,128,0.34634762381005185,128,0.034877126245459314,128,1,2,True,COMPLETE
7,0.8657940919415276,2025-12-07 17:54:02.698873,2025-12-07 17:54:44.797889,0 days 00:00:42.099016,128,0.5852979148891979,64,0.059487468132197734,64,2,2,False,PRUNED
8,0.8823029660440964,2025-12-07 17:54:44.799258,2025-12-07 17:55:22.454061,0 days 00:00:37.654803,64,0.5034282764658811,128,0.001155735281626987,64,3,2,False,PRUNED
9,0.7993747111437348,2025-12-07 17:55:22.455361,2025-12-07 17:55:53.322055,0 days 00:00:30.866694,64,0.6485842360750871,64,0.0723427984566542,64,2,2,False,PRUNED
