number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_hidden_features,params_learning_rate,params_lstm_hidden,params_num_blocks,params_reduction_ratio,params_use_attention,state
0,0.8206118378541195,2025-12-07 18:07:39.195299,2025-12-07 18:08:04.457656,0 days 00:00:25.262357,128,0.6464704583099741,64,0.0020513382630874496,64,3,2,True,COMPLETE
1,0.7863474998858228,2025-12-07 18:08:04.459052,2025-12-07 18:08:38.482895,0 days 00:00:34.023843,64,0.41649165607921673,128,0.0040596116104843075,64,2,2,False,COMPLETE
2,0.8598901804563593,2025-12-07 18:08:38.484249,2025-12-07 18:09:01.164844,0 days 00:00:22.680595,128,0.3682096494749166,128,0.015304852121831466,128,3,1,False,COMPLETE
3,0.8676940872544118,2025-12-07 18:09:01.166319,2025-12-07 18:09:39.880896,0 days 00:00:38.714577,64,0.6637281608315128,64,0.0017541893487450805,64,2,1,True,COMPLETE
4,0.7891888733031786,2025-12-07 18:09:39.882306,2025-12-07 18:10:12.953026,0 days 00:00:33.070720,64,0.6687496940092467,64,0.0756829206016762,64,1,1,True,COMPLETE
5,0.9001440883016611,2025-12-07 18:10:12.954359,2025-12-07 18:10:37.778141,0 days 00:00:24.823782,64,0.6208787923016159,64,0.0036464395589807202,64,1,1,True,PRUNED
6,0.8051964120578545,2025-12-07 18:10:37.779312,2025-12-07 18:10:59.757724,0 days 00:00:21.978412,128,0.34634762381005185,128,0.034877126245459314,128,1,2,True,COMPLETE
7,0.8361139872958155,2025-12-07 18:10:59.759003,2025-12-07 18:11:20.864344,0 days 00:00:21.105341,128,0.5852979148891979,64,0.059487468132197734,64,2,2,False,COMPLETE
8,0.878556670200908,2025-12-07 18:11:20.866086,2025-12-07 18:11:44.292559,0 days 00:00:23.426473,64,0.5034282764658811,128,0.001155735281626987,64,3,2,False,PRUNED
9,0.9464168229888807,2025-12-07 18:11:44.293712,2025-12-07 18:12:07.662577,0 days 00:00:23.368865,64,0.6485842360750871,64,0.0723427984566542,64,2,2,False,PRUNED
