number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_hidden_features,params_learning_rate,params_lstm_hidden,params_num_blocks,params_reduction_ratio,params_use_attention,state
0,0.5440715096635905,2025-12-07 17:55:53.931297,2025-12-07 17:56:20.443028,0 days 00:00:26.511731,128,0.6464704583099741,64,0.0020513382630874496,64,3,2,True,COMPLETE
1,0.4292552635080307,2025-12-07 17:56:20.444849,2025-12-07 17:57:01.444929,0 days 00:00:41.000080,64,0.41649165607921673,128,0.0040596116104843075,64,2,2,False,COMPLETE
2,0.4432797381744698,2025-12-07 17:57:01.446858,2025-12-07 17:57:26.150243,0 days 00:00:24.703385,128,0.3682096494749166,128,0.015304852121831466,128,3,1,False,COMPLETE
3,0.5130253388121576,2025-12-07 17:57:26.152261,2025-12-07 17:58:02.535550,0 days 00:00:36.383289,64,0.6637281608315128,64,0.0017541893487450805,64,2,1,True,COMPLETE
4,0.48148526838299127,2025-12-07 17:58:02.536962,2025-12-07 17:58:42.724100,0 days 00:00:40.187138,64,0.6687496940092467,64,0.0756829206016762,64,1,1,True,COMPLETE
5,0.6765521690093544,2025-12-07 17:58:42.725462,2025-12-07 17:59:21.215452,0 days 00:00:38.489990,64,0.6208787923016159,64,0.0036464395589807202,64,1,1,True,COMPLETE
6,0.5391702688742082,2025-12-07 17:59:21.217012,2025-12-07 17:59:44.164636,0 days 00:00:22.947624,128,0.34634762381005185,128,0.034877126245459314,128,1,2,True,PRUNED
7,0.3599842318462333,2025-12-07 17:59:44.165793,2025-12-07 18:00:04.366834,0 days 00:00:20.201041,128,0.5852979148891979,64,0.059487468132197734,64,2,2,False,PRUNED
8,0.5567150585868472,2025-12-07 18:00:04.368065,2025-12-07 18:00:36.462210,0 days 00:00:32.094145,64,0.5034282764658811,128,0.001155735281626987,64,3,2,False,PRUNED
9,0.5274257129652286,2025-12-07 18:00:36.463473,2025-12-07 18:01:01.564797,0 days 00:00:25.101324,64,0.6485842360750871,64,0.0723427984566542,64,2,2,False,PRUNED
