number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_hidden_features,params_learning_rate,params_lstm_hidden,params_num_blocks,params_reduction_ratio,params_use_attention,state
0,0.5212503808656689,2025-12-07 19:32:49.030042,2025-12-07 19:33:16.712919,0 days 00:00:27.682877,128,0.6464704583099741,64,0.0020513382630874496,64,3,2,True,COMPLETE
1,0.5603922599814112,2025-12-07 19:33:16.714381,2025-12-07 19:33:59.182517,0 days 00:00:42.468136,64,0.41649165607921673,128,0.0040596116104843075,64,2,2,False,COMPLETE
2,0.47085192800998205,2025-12-07 19:33:59.184006,2025-12-07 19:34:40.040114,0 days 00:00:40.856108,128,0.3682096494749166,128,0.015304852121831466,128,3,1,False,COMPLETE
3,0.5013828311967948,2025-12-07 19:34:40.041561,2025-12-07 19:35:15.596773,0 days 00:00:35.555212,64,0.6637281608315128,64,0.0017541893487450805,64,2,1,True,COMPLETE
4,0.4953112758023175,2025-12-07 19:35:15.598174,2025-12-07 19:35:51.606840,0 days 00:00:36.008666,64,0.6687496940092467,64,0.0756829206016762,64,1,1,True,COMPLETE
5,0.5377804460129779,2025-12-07 19:35:51.608215,2025-12-07 19:36:32.806584,0 days 00:00:41.198369,64,0.6208787923016159,64,0.0036464395589807202,64,1,1,True,COMPLETE
6,0.40756463583720737,2025-12-07 19:36:32.808026,2025-12-07 19:36:56.906577,0 days 00:00:24.098551,128,0.34634762381005185,128,0.034877126245459314,128,1,2,True,PRUNED
7,0.49627817198162194,2025-12-07 19:36:56.907896,2025-12-07 19:37:12.897379,0 days 00:00:15.989483,128,0.5852979148891979,64,0.059487468132197734,64,2,2,False,PRUNED
8,0.5578566683584695,2025-12-07 19:37:12.898598,2025-12-07 19:37:50.752069,0 days 00:00:37.853471,64,0.5034282764658811,128,0.001155735281626987,64,3,2,False,COMPLETE
9,0.49627817198162194,2025-12-07 19:37:50.753426,2025-12-07 19:38:15.429193,0 days 00:00:24.675767,64,0.6485842360750871,64,0.0723427984566542,64,2,2,False,PRUNED
