number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_hidden_features,params_learning_rate,params_lstm_hidden,params_num_blocks,params_reduction_ratio,params_use_attention,state
0,0.9282906928823476,2025-12-07 19:13:11.662063,2025-12-07 19:13:42.056527,0 days 00:00:30.394464,128,0.6464704583099741,64,0.0020513382630874496,64,3,2,True,COMPLETE
1,0.975716272015716,2025-12-07 19:13:42.057961,2025-12-07 19:14:28.465968,0 days 00:00:46.408007,64,0.41649165607921673,128,0.0040596116104843075,64,2,2,False,COMPLETE
2,0.9232712899632887,2025-12-07 19:14:28.467402,2025-12-07 19:15:14.511472,0 days 00:00:46.044070,128,0.3682096494749166,128,0.015304852121831466,128,3,1,False,COMPLETE
3,0.9039224797855377,2025-12-07 19:15:14.512931,2025-12-07 19:16:07.409773,0 days 00:00:52.896842,64,0.6637281608315128,64,0.0017541893487450805,64,2,1,True,COMPLETE
4,0.7054686398644061,2025-12-07 19:16:07.411127,2025-12-07 19:16:55.618587,0 days 00:00:48.207460,64,0.6687496940092467,64,0.0756829206016762,64,1,1,True,COMPLETE
5,0.9591506394012158,2025-12-07 19:16:55.620359,2025-12-07 19:17:44.772742,0 days 00:00:49.152383,64,0.6208787923016159,64,0.0036464395589807202,64,1,1,True,COMPLETE
6,0.9674298263444596,2025-12-07 19:17:44.774104,2025-12-07 19:18:27.561748,0 days 00:00:42.787644,128,0.34634762381005185,128,0.034877126245459314,128,1,2,True,COMPLETE
7,0.8176739254546938,2025-12-07 19:18:27.563414,2025-12-07 19:18:49.735600,0 days 00:00:22.172186,128,0.5852979148891979,64,0.059487468132197734,64,2,2,False,PRUNED
8,0.9221325068645843,2025-12-07 19:18:49.736798,2025-12-07 19:19:23.215245,0 days 00:00:33.478447,64,0.5034282764658811,128,0.001155735281626987,64,3,2,False,PRUNED
9,0.8110213957534731,2025-12-07 19:19:23.216558,2025-12-07 19:20:07.238376,0 days 00:00:44.021818,64,0.6485842360750871,64,0.0723427984566542,64,2,2,False,PRUNED
