number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_hidden_features,params_learning_rate,params_lstm_hidden,params_num_blocks,params_reduction_ratio,params_use_attention,state
0,0.4169294602273017,2025-12-07 19:07:33.457263,2025-12-07 19:07:58.455494,0 days 00:00:24.998231,128,0.6464704583099741,64,0.0020513382630874496,64,3,2,True,COMPLETE
1,0.4642419484382452,2025-12-07 19:07:58.456957,2025-12-07 19:08:38.022805,0 days 00:00:39.565848,64,0.41649165607921673,128,0.0040596116104843075,64,2,2,False,COMPLETE
2,0.43904163125073553,2025-12-07 19:08:38.024265,2025-12-07 19:09:14.551057,0 days 00:00:36.526792,128,0.3682096494749166,128,0.015304852121831466,128,3,1,False,COMPLETE
3,0.3536620087778097,2025-12-07 19:09:14.552461,2025-12-07 19:09:52.174999,0 days 00:00:37.622538,64,0.6637281608315128,64,0.0017541893487450805,64,2,1,True,COMPLETE
4,0.4953112758023175,2025-12-07 19:09:52.176347,2025-12-07 19:10:29.719790,0 days 00:00:37.543443,64,0.6687496940092467,64,0.0756829206016762,64,1,1,True,COMPLETE
5,0.4191605723658574,2025-12-07 19:10:29.721222,2025-12-07 19:11:07.214035,0 days 00:00:37.492813,64,0.6208787923016159,64,0.0036464395589807202,64,1,1,True,COMPLETE
6,0.418054989170722,2025-12-07 19:11:07.215389,2025-12-07 19:11:41.662261,0 days 00:00:34.446872,128,0.34634762381005185,128,0.034877126245459314,128,1,2,True,COMPLETE
7,0.4953112758023175,2025-12-07 19:11:41.664024,2025-12-07 19:12:06.606050,0 days 00:00:24.942026,128,0.5852979148891979,64,0.059487468132197734,64,2,2,False,COMPLETE
8,0.4621197292227388,2025-12-07 19:12:06.607366,2025-12-07 19:12:32.975881,0 days 00:00:26.368515,64,0.5034282764658811,128,0.001155735281626987,64,3,2,False,PRUNED
9,0.4953112758023175,2025-12-07 19:12:32.977149,2025-12-07 19:13:11.363625,0 days 00:00:38.386476,64,0.6485842360750871,64,0.0723427984566542,64,2,2,False,COMPLETE
