number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_hidden_features,params_learning_rate,params_lstm_hidden,params_num_blocks,params_reduction_ratio,params_use_attention,state
0,0.8697477701541629,2025-12-07 17:38:10.921339,2025-12-07 17:38:29.917535,0 days 00:00:18.996196,128,0.6464704583099741,64,0.0020513382630874496,64,3,2,True,COMPLETE
1,0.8725189868700142,2025-12-07 17:38:29.919574,2025-12-07 17:38:52.317661,0 days 00:00:22.398087,64,0.41649165607921673,128,0.0040596116104843075,64,2,2,False,COMPLETE
2,0.8752665339510725,2025-12-07 17:38:52.319113,2025-12-07 17:39:08.388717,0 days 00:00:16.069604,128,0.3682096494749166,128,0.015304852121831466,128,3,1,False,COMPLETE
3,0.8669738077846812,2025-12-07 17:39:08.390369,2025-12-07 17:39:31.103293,0 days 00:00:22.712924,64,0.6637281608315128,64,0.0017541893487450805,64,2,1,True,COMPLETE
4,0.7310142792593205,2025-12-07 17:39:31.104651,2025-12-07 17:40:03.081338,0 days 00:00:31.976687,64,0.6687496940092467,64,0.0756829206016762,64,1,1,True,COMPLETE
5,0.8905853247424081,2025-12-07 17:40:03.082705,2025-12-07 17:40:18.623497,0 days 00:00:15.540792,64,0.6208787923016159,64,0.0036464395589807202,64,1,1,True,PRUNED
6,0.9536130821303319,2025-12-07 17:40:18.624695,2025-12-07 17:40:32.156292,0 days 00:00:13.531597,128,0.34634762381005185,128,0.034877126245459314,128,1,2,True,PRUNED
7,0.8699874942228747,2025-12-07 17:40:32.157484,2025-12-07 17:40:47.673994,0 days 00:00:15.516510,128,0.5852979148891979,64,0.059487468132197734,64,2,2,False,PRUNED
8,0.9668610499415491,2025-12-07 17:40:47.675666,2025-12-07 17:41:03.335419,0 days 00:00:15.659753,64,0.5034282764658811,128,0.001155735281626987,64,3,2,False,PRUNED
9,0.9330737025256233,2025-12-07 17:41:03.336679,2025-12-07 17:41:26.766153,0 days 00:00:23.429474,64,0.6485842360750871,64,0.0723427984566542,64,2,2,False,PRUNED
