number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_hidden_features,params_learning_rate,params_lstm_hidden,params_num_blocks,params_reduction_ratio,params_use_attention,state
0,0.5543271021099283,2025-12-07 17:30:07.013672,2025-12-07 17:30:24.775400,0 days 00:00:17.761728,128,0.6464704583099741,64,0.0020513382630874496,64,3,2,True,COMPLETE
1,0.5533278522285016,2025-12-07 17:30:24.777229,2025-12-07 17:30:49.908621,0 days 00:00:25.131392,64,0.41649165607921673,128,0.0040596116104843075,64,2,2,False,COMPLETE
2,0.4953112758023175,2025-12-07 17:30:49.910402,2025-12-07 17:31:08.333210,0 days 00:00:18.422808,128,0.3682096494749166,128,0.015304852121831466,128,3,1,False,COMPLETE
3,0.6281943759531394,2025-12-07 17:31:08.334598,2025-12-07 17:31:42.872186,0 days 00:00:34.537588,64,0.6637281608315128,64,0.0017541893487450805,64,2,1,True,COMPLETE
4,0.4953112758023175,2025-12-07 17:31:42.874028,2025-12-07 17:32:09.270240,0 days 00:00:26.396212,64,0.6687496940092467,64,0.0756829206016762,64,1,1,True,COMPLETE
5,0.5357792366050662,2025-12-07 17:32:09.271815,2025-12-07 17:32:34.042464,0 days 00:00:24.770649,64,0.6208787923016159,64,0.0036464395589807202,64,1,1,True,COMPLETE
6,0.49627817198162194,2025-12-07 17:32:34.044117,2025-12-07 17:32:46.887714,0 days 00:00:12.843597,128,0.34634762381005185,128,0.034877126245459314,128,1,2,True,PRUNED
7,0.49627817198162194,2025-12-07 17:32:46.889377,2025-12-07 17:33:00.925798,0 days 00:00:14.036421,128,0.5852979148891979,64,0.059487468132197734,64,2,2,False,PRUNED
8,0.4895318489519615,2025-12-07 17:33:00.927328,2025-12-07 17:33:24.983448,0 days 00:00:24.056120,64,0.5034282764658811,128,0.001155735281626987,64,3,2,False,PRUNED
9,0.49627817198162194,2025-12-07 17:33:24.984683,2025-12-07 17:33:43.667018,0 days 00:00:18.682335,64,0.6485842360750871,64,0.0723427984566542,64,2,2,False,PRUNED
