number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_hidden_features,params_learning_rate,params_lstm_hidden,params_num_blocks,params_reduction_ratio,params_use_attention,state
0,0.8668637295794638,2025-12-07 17:41:27.134353,2025-12-07 17:41:47.056571,0 days 00:00:19.922218,128,0.6464704583099741,64,0.0020513382630874496,64,3,2,True,COMPLETE
1,0.849795642350618,2025-12-07 17:41:47.057953,2025-12-07 17:42:13.551932,0 days 00:00:26.493979,64,0.41649165607921673,128,0.0040596116104843075,64,2,2,False,COMPLETE
2,0.8244017550818148,2025-12-07 17:42:13.553324,2025-12-07 17:42:39.826471,0 days 00:00:26.273147,128,0.3682096494749166,128,0.015304852121831466,128,3,1,False,COMPLETE
3,0.8238099241905528,2025-12-07 17:42:39.828472,2025-12-07 17:43:06.237021,0 days 00:00:26.408549,64,0.6637281608315128,64,0.0017541893487450805,64,2,1,True,COMPLETE
4,0.5985899643269077,2025-12-07 17:43:06.238438,2025-12-07 17:43:36.524338,0 days 00:00:30.285900,64,0.6687496940092467,64,0.0756829206016762,64,1,1,True,COMPLETE
5,0.7697047549139548,2025-12-07 17:43:36.525690,2025-12-07 17:43:54.779808,0 days 00:00:18.254118,64,0.6208787923016159,64,0.0036464395589807202,64,1,1,True,PRUNED
6,0.49627817198162194,2025-12-07 17:43:54.781177,2025-12-07 17:44:09.216474,0 days 00:00:14.435297,128,0.34634762381005185,128,0.034877126245459314,128,1,2,True,PRUNED
7,0.49709784411276947,2025-12-07 17:44:09.217897,2025-12-07 17:44:25.411944,0 days 00:00:16.194047,128,0.5852979148891979,64,0.059487468132197734,64,2,2,False,PRUNED
8,0.8018717885979936,2025-12-07 17:44:25.413159,2025-12-07 17:44:43.587403,0 days 00:00:18.174244,64,0.5034282764658811,128,0.001155735281626987,64,3,2,False,PRUNED
9,0.49627817198162194,2025-12-07 17:44:43.588680,2025-12-07 17:45:02.760068,0 days 00:00:19.171388,64,0.6485842360750871,64,0.0723427984566542,64,2,2,False,PRUNED
