number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_hidden_features,params_learning_rate,params_lstm_hidden,params_num_blocks,params_reduction_ratio,params_use_attention,state
0,0.8997300917456409,2025-12-07 19:38:15.837567,2025-12-07 19:39:24.488248,0 days 00:01:08.650681,128,0.6464704583099741,64,0.0020513382630874496,64,3,2,True,COMPLETE
1,0.905533452293653,2025-12-07 19:39:24.489937,2025-12-07 19:40:51.623911,0 days 00:01:27.133974,64,0.41649165607921673,128,0.0040596116104843075,64,2,2,False,COMPLETE
2,0.9210288171202037,2025-12-07 19:40:51.625406,2025-12-07 19:41:50.631870,0 days 00:00:59.006464,128,0.3682096494749166,128,0.015304852121831466,128,3,1,False,COMPLETE
3,0.9088910085935057,2025-12-07 19:41:50.633358,2025-12-07 19:43:13.804911,0 days 00:01:23.171553,64,0.6637281608315128,64,0.0017541893487450805,64,2,1,True,COMPLETE
4,0.6265276891816866,2025-12-07 19:43:13.806655,2025-12-07 19:44:24.847781,0 days 00:01:11.041126,64,0.6687496940092467,64,0.0756829206016762,64,1,1,True,COMPLETE
5,0.9171529324270935,2025-12-07 19:44:24.849296,2025-12-07 19:45:18.971230,0 days 00:00:54.121934,64,0.6208787923016159,64,0.0036464395589807202,64,1,1,True,COMPLETE
6,0.8377018272970064,2025-12-07 19:45:18.972717,2025-12-07 19:46:09.890968,0 days 00:00:50.918251,128,0.34634762381005185,128,0.034877126245459314,128,1,2,True,PRUNED
7,0.8458377511350352,2025-12-07 19:46:09.892169,2025-12-07 19:46:40.413311,0 days 00:00:30.521142,128,0.5852979148891979,64,0.059487468132197734,64,2,2,False,PRUNED
8,0.9248403514940766,2025-12-07 19:46:40.415180,2025-12-07 19:47:57.731337,0 days 00:01:17.316157,64,0.5034282764658811,128,0.001155735281626987,64,3,2,False,COMPLETE
9,0.6167699752603105,2025-12-07 19:47:57.732967,2025-12-07 19:48:42.582146,0 days 00:00:44.849179,64,0.6485842360750871,64,0.0723427984566542,64,2,2,False,PRUNED
