number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_hidden_features,params_learning_rate,params_lstm_hidden,params_num_blocks,params_reduction_ratio,params_use_attention,state
0,0.4457561106997132,2025-12-07 20:22:51.818770,2025-12-07 20:23:27.989577,0 days 00:00:36.170807,128,0.6464704583099741,64,0.0020513382630874496,64,3,2,True,COMPLETE
1,0.5145046879860219,2025-12-07 20:23:27.991566,2025-12-07 20:24:25.687078,0 days 00:00:57.695512,64,0.41649165607921673,128,0.0040596116104843075,64,2,2,False,COMPLETE
2,0.5449883869353939,2025-12-07 20:24:25.688614,2025-12-07 20:25:23.433932,0 days 00:00:57.745318,128,0.3682096494749166,128,0.015304852121831466,128,3,1,False,COMPLETE
3,0.5262834490378779,2025-12-07 20:25:23.435878,2025-12-07 20:26:23.679890,0 days 00:01:00.244012,64,0.6637281608315128,64,0.0017541893487450805,64,2,1,True,COMPLETE
4,0.4953112758023175,2025-12-07 20:26:23.681240,2025-12-07 20:27:05.351523,0 days 00:00:41.670283,64,0.6687496940092467,64,0.0756829206016762,64,1,1,True,COMPLETE
5,0.5641221809263914,2025-12-07 20:27:05.352827,2025-12-07 20:27:56.203364,0 days 00:00:50.850537,64,0.6208787923016159,64,0.0036464395589807202,64,1,1,True,COMPLETE
6,0.4730609248837778,2025-12-07 20:27:56.204825,2025-12-07 20:28:21.647685,0 days 00:00:25.442860,128,0.34634762381005185,128,0.034877126245459314,128,1,2,True,PRUNED
7,0.49627817198162194,2025-12-07 20:28:21.649070,2025-12-07 20:28:43.432696,0 days 00:00:21.783626,128,0.5852979148891979,64,0.059487468132197734,64,2,2,False,PRUNED
8,0.5561890243591389,2025-12-07 20:28:43.433861,2025-12-07 20:29:51.924170,0 days 00:01:08.490309,64,0.5034282764658811,128,0.001155735281626987,64,3,2,False,COMPLETE
9,0.49627817198162194,2025-12-07 20:29:51.925573,2025-12-07 20:30:27.301899,0 days 00:00:35.376326,64,0.6485842360750871,64,0.0723427984566542,64,2,2,False,PRUNED
