number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_hidden_features,params_learning_rate,params_lstm_hidden,params_num_blocks,params_reduction_ratio,params_use_attention,state
0,0.9608109076446739,2025-12-07 19:56:44.218862,2025-12-07 19:57:38.789854,0 days 00:00:54.570992,128,0.6464704583099741,64,0.0020513382630874496,64,3,2,True,COMPLETE
1,0.9685335791038415,2025-12-07 19:57:38.791926,2025-12-07 19:58:37.704820,0 days 00:00:58.912894,64,0.41649165607921673,128,0.0040596116104843075,64,2,2,False,COMPLETE
2,0.9508588284527014,2025-12-07 19:58:37.706252,2025-12-07 19:59:36.190357,0 days 00:00:58.484105,128,0.3682096494749166,128,0.015304852121831466,128,3,1,False,COMPLETE
3,0.9823333602797483,2025-12-07 19:59:36.191718,2025-12-07 20:00:56.087009,0 days 00:01:19.895291,64,0.6637281608315128,64,0.0017541893487450805,64,2,1,True,COMPLETE
4,0.6074199743991054,2025-12-07 20:00:56.088601,2025-12-07 20:01:44.716340,0 days 00:00:48.627739,64,0.6687496940092467,64,0.0756829206016762,64,1,1,True,COMPLETE
5,0.8773849332572112,2025-12-07 20:01:44.717793,2025-12-07 20:02:17.288030,0 days 00:00:32.570237,64,0.6208787923016159,64,0.0036464395589807202,64,1,1,True,PRUNED
6,0.9570440148981867,2025-12-07 20:02:17.289551,2025-12-07 20:02:49.608833,0 days 00:00:32.319282,128,0.34634762381005185,128,0.034877126245459314,128,1,2,True,PRUNED
7,0.6767188646929287,2025-12-07 20:02:49.610027,2025-12-07 20:03:15.336418,0 days 00:00:25.726391,128,0.5852979148891979,64,0.059487468132197734,64,2,2,False,PRUNED
8,0.9586452980996656,2025-12-07 20:03:15.337723,2025-12-07 20:04:12.747476,0 days 00:00:57.409753,64,0.5034282764658811,128,0.001155735281626987,64,3,2,False,PRUNED
9,0.6085732539488351,2025-12-07 20:04:12.749007,2025-12-07 20:04:52.842004,0 days 00:00:40.092997,64,0.6485842360750871,64,0.0723427984566542,64,2,2,False,PRUNED
