number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_hidden_features,params_learning_rate,params_lstm_hidden,params_num_blocks,params_reduction_ratio,params_use_attention,state
0,0.8592355776216086,2025-12-07 20:04:53.374226,2025-12-07 20:05:43.619554,0 days 00:00:50.245328,128,0.6464704583099741,64,0.0020513382630874496,64,3,2,True,COMPLETE
1,0.8487408372437143,2025-12-07 20:05:43.623342,2025-12-07 20:06:55.113911,0 days 00:01:11.490569,64,0.41649165607921673,128,0.0040596116104843075,64,2,2,False,COMPLETE
2,0.8112963722143695,2025-12-07 20:06:55.115220,2025-12-07 20:08:03.388949,0 days 00:01:08.273729,128,0.3682096494749166,128,0.015304852121831466,128,3,1,False,COMPLETE
3,0.8581180965940751,2025-12-07 20:08:03.390357,2025-12-07 20:09:19.313680,0 days 00:01:15.923323,64,0.6637281608315128,64,0.0017541893487450805,64,2,1,True,COMPLETE
4,0.4953112758023175,2025-12-07 20:09:19.315049,2025-12-07 20:10:00.372778,0 days 00:00:41.057729,64,0.6687496940092467,64,0.0756829206016762,64,1,1,True,COMPLETE
5,0.8757973603195977,2025-12-07 20:10:00.374145,2025-12-07 20:10:46.552629,0 days 00:00:46.178484,64,0.6208787923016159,64,0.0036464395589807202,64,1,1,True,COMPLETE
6,0.8773183264007829,2025-12-07 20:10:46.554137,2025-12-07 20:11:31.897202,0 days 00:00:45.343065,128,0.34634762381005185,128,0.034877126245459314,128,1,2,True,PRUNED
7,0.49627817198162194,2025-12-07 20:11:31.898395,2025-12-07 20:11:53.848351,0 days 00:00:21.949956,128,0.5852979148891979,64,0.059487468132197734,64,2,2,False,PRUNED
8,0.8664055204982098,2025-12-07 20:11:53.849999,2025-12-07 20:13:06.127957,0 days 00:01:12.277958,64,0.5034282764658811,128,0.001155735281626987,64,3,2,False,COMPLETE
9,0.49627817198162194,2025-12-07 20:13:06.129360,2025-12-07 20:13:41.014014,0 days 00:00:34.884654,64,0.6485842360750871,64,0.0723427984566542,64,2,2,False,PRUNED
