number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_hidden_features,params_learning_rate,params_lstm_hidden,params_num_blocks,params_reduction_ratio,params_use_attention,state
0,0.3366131111172326,2025-12-07 19:48:42.977705,2025-12-07 19:49:22.762510,0 days 00:00:39.784805,128,0.6464704583099741,64,0.0020513382630874496,64,3,2,True,COMPLETE
1,0.477286557837959,2025-12-07 19:49:22.764145,2025-12-07 19:50:25.772337,0 days 00:01:03.008192,64,0.41649165607921673,128,0.0040596116104843075,64,2,2,False,COMPLETE
2,0.4759956025131343,2025-12-07 19:50:25.773928,2025-12-07 19:51:17.863449,0 days 00:00:52.089521,128,0.3682096494749166,128,0.015304852121831466,128,3,1,False,COMPLETE
3,0.39524916401598564,2025-12-07 19:51:17.864822,2025-12-07 19:52:17.126886,0 days 00:00:59.262064,64,0.6637281608315128,64,0.0017541893487450805,64,2,1,True,COMPLETE
4,0.4953112758023175,2025-12-07 19:52:17.128216,2025-12-07 19:53:01.610274,0 days 00:00:44.482058,64,0.6687496940092467,64,0.0756829206016762,64,1,1,True,COMPLETE
5,0.5177717817503635,2025-12-07 19:53:01.611750,2025-12-07 19:53:45.102215,0 days 00:00:43.490465,64,0.6208787923016159,64,0.0036464395589807202,64,1,1,True,COMPLETE
6,0.414185447987748,2025-12-07 19:53:45.103756,2025-12-07 19:54:22.885080,0 days 00:00:37.781324,128,0.34634762381005185,128,0.034877126245459314,128,1,2,True,COMPLETE
7,0.4953112758023175,2025-12-07 19:54:22.886416,2025-12-07 19:54:55.715864,0 days 00:00:32.829448,128,0.5852979148891979,64,0.059487468132197734,64,2,2,False,COMPLETE
8,0.2721664899545986,2025-12-07 19:54:55.717434,2025-12-07 19:55:50.070858,0 days 00:00:54.353424,64,0.5034282764658811,128,0.001155735281626987,64,3,2,False,PRUNED
9,0.4953112758023175,2025-12-07 19:55:50.072055,2025-12-07 19:56:43.915960,0 days 00:00:53.843905,64,0.6485842360750871,64,0.0723427984566542,64,2,2,False,COMPLETE
