number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_hidden_features,params_learning_rate,params_lstm_hidden,params_num_blocks,params_reduction_ratio,params_use_attention,state
0,0.7632866950306191,2025-12-07 20:13:41.389075,2025-12-07 20:14:32.821489,0 days 00:00:51.432414,128,0.6464704583099741,64,0.0020513382630874496,64,3,2,True,COMPLETE
1,0.7756611398909624,2025-12-07 20:14:32.823200,2025-12-07 20:15:35.595734,0 days 00:01:02.772534,64,0.41649165607921673,128,0.0040596116104843075,64,2,2,False,COMPLETE
2,0.822347946152061,2025-12-07 20:15:35.597203,2025-12-07 20:16:28.721349,0 days 00:00:53.124146,128,0.3682096494749166,128,0.015304852121831466,128,3,1,False,COMPLETE
3,0.6426460773251681,2025-12-07 20:16:28.723139,2025-12-07 20:17:54.984014,0 days 00:01:26.260875,64,0.6637281608315128,64,0.0017541893487450805,64,2,1,True,COMPLETE
4,0.6403136160594392,2025-12-07 20:17:54.985375,2025-12-07 20:18:50.256450,0 days 00:00:55.271075,64,0.6687496940092467,64,0.0756829206016762,64,1,1,True,COMPLETE
5,0.7060748171709758,2025-12-07 20:18:50.257845,2025-12-07 20:19:30.975718,0 days 00:00:40.717873,64,0.6208787923016159,64,0.0036464395589807202,64,1,1,True,PRUNED
6,0.7328562107495311,2025-12-07 20:19:30.977081,2025-12-07 20:20:00.161605,0 days 00:00:29.184524,128,0.34634762381005185,128,0.034877126245459314,128,1,2,True,PRUNED
7,0.6864597776146589,2025-12-07 20:20:00.162984,2025-12-07 20:20:33.247501,0 days 00:00:33.084517,128,0.5852979148891979,64,0.059487468132197734,64,2,2,False,PRUNED
8,0.8194429155804831,2025-12-07 20:20:33.248741,2025-12-07 20:22:09.587532,0 days 00:01:36.338791,64,0.5034282764658811,128,0.001155735281626987,64,3,2,False,COMPLETE
9,0.5923306962455481,2025-12-07 20:22:09.589324,2025-12-07 20:22:51.426823,0 days 00:00:41.837499,64,0.6485842360750871,64,0.0723427984566542,64,2,2,False,PRUNED
