number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_hidden_features,params_learning_rate,params_lstm_hidden,params_num_blocks,params_reduction_ratio,params_use_attention,state
0,0.9574641449143383,2025-12-07 18:23:09.131869,2025-12-07 18:23:53.519123,0 days 00:00:44.387254,128,0.6464704583099741,64,0.0020513382630874496,64,3,2,True,COMPLETE
1,0.9220882283236348,2025-12-07 18:23:53.520627,2025-12-07 18:24:42.173138,0 days 00:00:48.652511,64,0.41649165607921673,128,0.0040596116104843075,64,2,2,False,COMPLETE
2,0.5909442221815325,2025-12-07 18:24:42.174529,2025-12-07 18:25:30.694498,0 days 00:00:48.519969,128,0.3682096494749166,128,0.015304852121831466,128,3,1,False,COMPLETE
3,0.9574650601322151,2025-12-07 18:25:30.695910,2025-12-07 18:26:12.635736,0 days 00:00:41.939826,64,0.6637281608315128,64,0.0017541893487450805,64,2,1,True,COMPLETE
4,0.4953112758023175,2025-12-07 18:26:12.637156,2025-12-07 18:26:54.368877,0 days 00:00:41.731721,64,0.6687496940092467,64,0.0756829206016762,64,1,1,True,COMPLETE
5,0.9480703486271942,2025-12-07 18:26:54.370234,2025-12-07 18:27:36.491050,0 days 00:00:42.120816,64,0.6208787923016159,64,0.0036464395589807202,64,1,1,True,COMPLETE
6,0.49627817198162194,2025-12-07 18:27:36.492421,2025-12-07 18:28:06.563108,0 days 00:00:30.070687,128,0.34634762381005185,128,0.034877126245459314,128,1,2,True,PRUNED
7,0.49627817198162194,2025-12-07 18:28:06.564848,2025-12-07 18:28:32.944625,0 days 00:00:26.379777,128,0.5852979148891979,64,0.059487468132197734,64,2,2,False,PRUNED
8,0.9591179436176577,2025-12-07 18:28:32.946110,2025-12-07 18:29:21.590719,0 days 00:00:48.644609,64,0.5034282764658811,128,0.001155735281626987,64,3,2,False,COMPLETE
9,0.49627817198162194,2025-12-07 18:29:21.592204,2025-12-07 18:29:50.732591,0 days 00:00:29.140387,64,0.6485842360750871,64,0.0723427984566542,64,2,2,False,PRUNED
