number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_hidden_features,params_learning_rate,params_lstm_hidden,params_num_blocks,params_reduction_ratio,params_use_attention,state
0,0.5517134409017411,2025-12-07 18:53:25.280509,2025-12-07 18:53:55.948907,0 days 00:00:30.668398,128,0.6464704583099741,64,0.0020513382630874496,64,3,2,True,COMPLETE
1,0.5004563816462148,2025-12-07 18:53:55.951016,2025-12-07 18:54:51.930897,0 days 00:00:55.979881,64,0.41649165607921673,128,0.0040596116104843075,64,2,2,False,COMPLETE
2,0.4953112758023175,2025-12-07 18:54:51.932674,2025-12-07 18:55:26.732960,0 days 00:00:34.800286,128,0.3682096494749166,128,0.015304852121831466,128,3,1,False,COMPLETE
3,0.6016505939403934,2025-12-07 18:55:26.734783,2025-12-07 18:56:01.074131,0 days 00:00:34.339348,64,0.6637281608315128,64,0.0017541893487450805,64,2,1,True,COMPLETE
4,0.4953112758023175,2025-12-07 18:56:01.075585,2025-12-07 18:56:35.879827,0 days 00:00:34.804242,64,0.6687496940092467,64,0.0756829206016762,64,1,1,True,COMPLETE
5,0.5956630195384314,2025-12-07 18:56:35.881143,2025-12-07 18:57:10.696830,0 days 00:00:34.815687,64,0.6208787923016159,64,0.0036464395589807202,64,1,1,True,COMPLETE
6,0.49627817198162194,2025-12-07 18:57:10.698180,2025-12-07 18:57:36.169528,0 days 00:00:25.471348,128,0.34634762381005185,128,0.034877126245459314,128,1,2,True,PRUNED
7,0.49627817198162194,2025-12-07 18:57:36.171009,2025-12-07 18:57:55.969230,0 days 00:00:19.798221,128,0.5852979148891979,64,0.059487468132197734,64,2,2,False,PRUNED
8,0.5937127892666129,2025-12-07 18:57:55.970360,2025-12-07 18:58:43.618384,0 days 00:00:47.648024,64,0.5034282764658811,128,0.001155735281626987,64,3,2,False,COMPLETE
9,0.49627817198162194,2025-12-07 18:58:43.619802,2025-12-07 18:59:07.401858,0 days 00:00:23.782056,64,0.6485842360750871,64,0.0723427984566542,64,2,2,False,PRUNED
