number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_hidden_features,params_learning_rate,params_lstm_hidden,params_num_blocks,params_reduction_ratio,params_use_attention,state
0,0.9790166737093432,2025-12-07 18:35:14.991620,2025-12-07 18:35:55.478804,0 days 00:00:40.487184,128,0.6464704583099741,64,0.0020513382630874496,64,3,2,True,COMPLETE
1,0.9354921012496235,2025-12-07 18:35:55.480569,2025-12-07 18:36:56.252355,0 days 00:01:00.771786,64,0.41649165607921673,128,0.0040596116104843075,64,2,2,False,COMPLETE
2,0.7693273520694337,2025-12-07 18:36:56.253857,2025-12-07 18:37:37.777264,0 days 00:00:41.523407,128,0.3682096494749166,128,0.015304852121831466,128,3,1,False,COMPLETE
3,0.9745989170181854,2025-12-07 18:37:37.778787,2025-12-07 18:38:17.778368,0 days 00:00:39.999581,64,0.6637281608315128,64,0.0017541893487450805,64,2,1,True,COMPLETE
4,0.4953112758023175,2025-12-07 18:38:17.779758,2025-12-07 18:38:58.118172,0 days 00:00:40.338414,64,0.6687496940092467,64,0.0756829206016762,64,1,1,True,COMPLETE
5,0.9408849100616893,2025-12-07 18:38:58.120127,2025-12-07 18:39:44.063402,0 days 00:00:45.943275,64,0.6208787923016159,64,0.0036464395589807202,64,1,1,True,COMPLETE
6,0.5949514721474594,2025-12-07 18:39:44.064724,2025-12-07 18:40:21.205964,0 days 00:00:37.141240,128,0.34634762381005185,128,0.034877126245459314,128,1,2,True,PRUNED
7,0.49627817198162194,2025-12-07 18:40:21.207174,2025-12-07 18:40:44.222345,0 days 00:00:23.015171,128,0.5852979148891979,64,0.059487468132197734,64,2,2,False,PRUNED
8,0.9580487800925889,2025-12-07 18:40:44.224011,2025-12-07 18:41:29.542724,0 days 00:00:45.318713,64,0.5034282764658811,128,0.001155735281626987,64,3,2,False,COMPLETE
9,0.49627817198162194,2025-12-07 18:41:29.544071,2025-12-07 18:41:56.302040,0 days 00:00:26.757969,64,0.6485842360750871,64,0.0723427984566542,64,2,2,False,PRUNED
