number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_hidden_features,params_learning_rate,params_lstm_hidden,params_num_blocks,params_reduction_ratio,params_use_attention,state
0,0.7719099138740969,2025-12-07 18:41:56.700741,2025-12-07 18:42:25.566811,0 days 00:00:28.866070,128,0.6464704583099741,64,0.0020513382630874496,64,3,2,True,COMPLETE
1,0.7667270320372469,2025-12-07 18:42:25.568599,2025-12-07 18:43:07.625435,0 days 00:00:42.056836,64,0.41649165607921673,128,0.0040596116104843075,64,2,2,False,COMPLETE
2,0.6878612672532823,2025-12-07 18:43:07.626922,2025-12-07 18:43:49.316460,0 days 00:00:41.689538,128,0.3682096494749166,128,0.015304852121831466,128,3,1,False,COMPLETE
3,0.7672990432102266,2025-12-07 18:43:49.317893,2025-12-07 18:44:23.602593,0 days 00:00:34.284700,64,0.6637281608315128,64,0.0017541893487450805,64,2,1,True,COMPLETE
4,0.4953112758023175,2025-12-07 18:44:23.604198,2025-12-07 18:44:59.985226,0 days 00:00:36.381028,64,0.6687496940092467,64,0.0756829206016762,64,1,1,True,COMPLETE
5,0.7800684480947534,2025-12-07 18:44:59.986567,2025-12-07 18:45:34.889749,0 days 00:00:34.903182,64,0.6208787923016159,64,0.0036464395589807202,64,1,1,True,COMPLETE
6,0.49627817198162194,2025-12-07 18:45:34.891156,2025-12-07 18:45:58.633288,0 days 00:00:23.742132,128,0.34634762381005185,128,0.034877126245459314,128,1,2,True,PRUNED
7,0.49627817198162194,2025-12-07 18:45:58.634465,2025-12-07 18:46:19.674225,0 days 00:00:21.039760,128,0.5852979148891979,64,0.059487468132197734,64,2,2,False,PRUNED
8,0.8552823315118396,2025-12-07 18:46:19.675655,2025-12-07 18:46:48.333729,0 days 00:00:28.658074,64,0.5034282764658811,128,0.001155735281626987,64,3,2,False,PRUNED
9,0.49627817198162194,2025-12-07 18:46:48.334933,2025-12-07 18:47:13.854252,0 days 00:00:25.519319,64,0.6485842360750871,64,0.0723427984566542,64,2,2,False,PRUNED
