number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_hidden_features,params_learning_rate,params_lstm_hidden,params_num_blocks,params_reduction_ratio,params_use_attention,state
0,0.507853817679837,2025-12-07 18:29:51.327676,2025-12-07 18:30:21.856928,0 days 00:00:30.529252,128,0.6464704583099741,64,0.0020513382630874496,64,3,2,True,COMPLETE
1,0.5966366103114508,2025-12-07 18:30:21.858479,2025-12-07 18:31:04.152878,0 days 00:00:42.294399,64,0.41649165607921673,128,0.0040596116104843075,64,2,2,False,COMPLETE
2,0.4953112758023175,2025-12-07 18:31:04.154296,2025-12-07 18:31:40.408798,0 days 00:00:36.254502,128,0.3682096494749166,128,0.015304852121831466,128,3,1,False,COMPLETE
3,0.5329572628059837,2025-12-07 18:31:40.410570,2025-12-07 18:32:16.521701,0 days 00:00:36.111131,64,0.6637281608315128,64,0.0017541893487450805,64,2,1,True,COMPLETE
4,0.4953112758023175,2025-12-07 18:32:16.523042,2025-12-07 18:32:52.457907,0 days 00:00:35.934865,64,0.6687496940092467,64,0.0756829206016762,64,1,1,True,COMPLETE
5,0.5794930011038427,2025-12-07 18:32:52.459720,2025-12-07 18:33:33.216341,0 days 00:00:40.756621,64,0.6208787923016159,64,0.0036464395589807202,64,1,1,True,COMPLETE
6,0.49627817198162194,2025-12-07 18:33:33.219695,2025-12-07 18:33:57.840399,0 days 00:00:24.620704,128,0.34634762381005185,128,0.034877126245459314,128,1,2,True,PRUNED
7,0.49627817198162194,2025-12-07 18:33:57.842074,2025-12-07 18:34:19.194835,0 days 00:00:21.352761,128,0.5852979148891979,64,0.059487468132197734,64,2,2,False,PRUNED
8,0.48357529293423596,2025-12-07 18:34:19.196012,2025-12-07 18:34:48.264886,0 days 00:00:29.068874,64,0.5034282764658811,128,0.001155735281626987,64,3,2,False,PRUNED
9,0.49627817198162194,2025-12-07 18:34:48.266055,2025-12-07 18:35:14.382072,0 days 00:00:26.116017,64,0.6485842360750871,64,0.0723427984566542,64,2,2,False,PRUNED
