number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_hidden_features,params_learning_rate,params_lstm_hidden,params_num_blocks,params_reduction_ratio,params_use_attention,state
0,0.7521947284770611,2025-12-07 18:47:14.373004,2025-12-07 18:47:56.148543,0 days 00:00:41.775539,128,0.6464704583099741,64,0.0020513382630874496,64,3,2,True,COMPLETE
1,0.787798696357655,2025-12-07 18:47:56.150019,2025-12-07 18:48:49.472575,0 days 00:00:53.322556,64,0.41649165607921673,128,0.0040596116104843075,64,2,2,False,COMPLETE
2,0.4953112758023175,2025-12-07 18:48:49.474064,2025-12-07 18:49:26.986330,0 days 00:00:37.512266,128,0.3682096494749166,128,0.015304852121831466,128,3,1,False,COMPLETE
3,0.7654615377736825,2025-12-07 18:49:26.987880,2025-12-07 18:50:04.443366,0 days 00:00:37.455486,64,0.6637281608315128,64,0.0017541893487450805,64,2,1,True,COMPLETE
4,0.4953112758023175,2025-12-07 18:50:04.444710,2025-12-07 18:50:41.953068,0 days 00:00:37.508358,64,0.6687496940092467,64,0.0756829206016762,64,1,1,True,COMPLETE
5,0.7846633429554241,2025-12-07 18:50:41.954400,2025-12-07 18:51:23.408404,0 days 00:00:41.454004,64,0.6208787923016159,64,0.0036464395589807202,64,1,1,True,COMPLETE
6,0.49627817198162194,2025-12-07 18:51:23.409816,2025-12-07 18:51:48.980955,0 days 00:00:25.571139,128,0.34634762381005185,128,0.034877126245459314,128,1,2,True,PRUNED
7,0.49627817198162194,2025-12-07 18:51:48.982114,2025-12-07 18:52:10.489964,0 days 00:00:21.507850,128,0.5852979148891979,64,0.059487468132197734,64,2,2,False,PRUNED
8,0.7863682678298396,2025-12-07 18:52:10.491422,2025-12-07 18:52:57.496437,0 days 00:00:47.005015,64,0.5034282764658811,128,0.001155735281626987,64,3,2,False,COMPLETE
9,0.49627817198162194,2025-12-07 18:52:57.497850,2025-12-07 18:53:24.893641,0 days 00:00:27.395791,64,0.6485842360750871,64,0.0723427984566542,64,2,2,False,PRUNED
