fold,test_subjects,val_subjects,train_loss,train_acc,test_loss,test_acc,train_bal_acc,test_bal_acc,train_f1_acc,test_f1_acc
1,Sub20,Sub09_Sub21,0.0002469437427429944,1.0,0.039965275669965196,0.9920127795527156,1.0,0.9925541080783016,1.0,0.9920222841347269
2,Sub19,Sub11_Sub22,0.00017602464486498847,1.0,0.033062550714203096,0.9933110367892977,1.0,0.9922147651006711,1.0,0.9933110367892977
3,Sub04,Sub15_Sub00,0.00024525126320415285,1.0,0.44481061745318584,0.9114754098360656,1.0,0.885750933369981,1.0,0.9095755176268004
4,Sub15,Sub07_Sub21,0.00023573483421088283,1.0,0.09465956986991841,0.9521452145214522,1.0,0.9359823399558499,1.0,0.9512280100747647
5,Sub07,Sub18_Sub15,0.00020594554301875382,1.0,0.0066459276928299005,0.9983361064891847,1.0,0.9977777777777778,1.0,0.9983360164428863
6,Sub11,Sub04_Sub09,0.00020024965294050814,1.0,0.2432510109290888,0.9234449760765551,1.0,0.9019627102288393,1.0,0.919496913551683
7,Sub23,Sub17_Sub03,0.0001790764603216443,1.0,0.3709172021393897,0.8910891089108911,1.0,0.8552631578947368,1.0,0.8871211806142667
8,Sub09,Sub02_Sub20,0.00013734333273138357,1.0,0.04138645549319335,0.9933884297520661,1.0,0.9915277777777778,1.0,0.9933844631224282
9,Sub17,Sub03_Sub19,0.00016428341532796016,1.0,0.02786894672926792,0.9917081260364843,1.0,0.9888888888888889,1.0,0.9916723479063503
10,Sub22,Sub18_Sub14,0.00019980720786737618,1.0,0.015054210152084125,0.9933333333333333,1.0,0.9911397621570704,1.0,0.9933331829387196
11,Sub01,Sub02_Sub22,0.00022176779549335044,1.0,0.2567085059874614,0.9108061749571184,1.0,0.8906143403130953,1.0,0.9095443412817644
12,Sub18,Sub03_Sub20,0.00019653843618868105,1.0,0.06173378769489517,0.9768211920529801,1.0,0.9714470740609914,1.0,0.976611096639699
13,Sub02,Sub03_Sub17,0.00020498644371909396,1.0,1.23044049066375,0.7342192691029901,1.0,0.647280701754386,1.0,0.7100011598933391
14,Sub21,Sub18_Sub09,0.00042492839987005084,1.0,0.07258238889626227,0.9735537190082645,1.0,0.9665591397849461,1.0,0.9733079823840856
15,Sub24,Sub02_Sub01,0.00022116123349965515,1.0,0.007225891874259105,0.9983606557377049,1.0,0.9978070175438596,1.0,0.9983592964804032
16,Sub14,Sub11_Sub17,0.00018302638332656228,1.0,0.15242203809320926,0.9745762711864406,1.0,0.9720306513409961,1.0,0.9744767768869844
17,Sub00,Sub03_Sub14,0.0001735426664170928,1.0,3.816183698177338,0.4609250398724083,1.0,0.4352804423837742,1.0,0.4416338248388801
18,Sub03,Sub04_Sub20,0.00020952294581663193,1.0,0.5717200719518587,0.8514376996805112,1.0,0.8030851093351093,1.0,0.8437827459567907
