number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_hidden_features,params_learning_rate,params_lstm_hidden,params_num_blocks,params_reduction_ratio,params_use_attention,state
0,0.9607927293171413,2025-12-08 00:20:53.464915,2025-12-08 00:21:22.061297,0 days 00:00:28.596382,128,0.6464704583099741,64,0.0020513382630874496,64,3,2,True,COMPLETE
1,0.9691108295240766,2025-12-08 00:21:22.062862,2025-12-08 00:22:10.153510,0 days 00:00:48.090648,64,0.41649165607921673,128,0.0040596116104843075,64,2,2,False,COMPLETE
2,0.929868243434032,2025-12-08 00:22:10.155132,2025-12-08 00:22:42.407718,0 days 00:00:32.252586,128,0.3682096494749166,128,0.015304852121831466,128,3,1,False,COMPLETE
3,0.9320614205417742,2025-12-08 00:22:42.409128,2025-12-08 00:23:23.149951,0 days 00:00:40.740823,64,0.6637281608315128,64,0.0017541893487450805,64,2,1,True,COMPLETE
4,0.9619517432319938,2025-12-08 00:23:23.151391,2025-12-08 00:24:20.700156,0 days 00:00:57.548765,64,0.6687496940092467,64,0.0756829206016762,64,1,1,True,COMPLETE
5,0.9768444835977653,2025-12-08 00:24:20.701581,2025-12-08 00:25:08.256961,0 days 00:00:47.555380,64,0.6208787923016159,64,0.0036464395589807202,64,1,1,True,COMPLETE
6,0.9504580920533943,2025-12-08 00:25:08.258532,2025-12-08 00:25:40.669783,0 days 00:00:32.411251,128,0.34634762381005185,128,0.034877126245459314,128,1,2,True,PRUNED
7,0.7358589565832042,2025-12-08 00:25:40.671118,2025-12-08 00:26:04.603774,0 days 00:00:23.932656,128,0.5852979148891979,64,0.059487468132197734,64,2,2,False,PRUNED
8,0.979566782668282,2025-12-08 00:26:04.604989,2025-12-08 00:26:45.042043,0 days 00:00:40.437054,64,0.5034282764658811,128,0.001155735281626987,64,3,2,False,COMPLETE
9,0.9279177881086371,2025-12-08 00:26:45.043526,2025-12-08 00:27:28.699700,0 days 00:00:43.656174,64,0.6485842360750871,64,0.0723427984566542,64,2,2,False,PRUNED
