number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_hidden_features,params_learning_rate,params_lstm_hidden,params_num_blocks,params_reduction_ratio,params_use_attention,state
0,0.5728800028134698,2025-12-08 00:04:31.684331,2025-12-08 00:04:59.084517,0 days 00:00:27.400186,128,0.6464704583099741,64,0.0020513382630874496,64,3,2,True,COMPLETE
1,0.6097598414278503,2025-12-08 00:04:59.086046,2025-12-08 00:05:40.348986,0 days 00:00:41.262940,64,0.41649165607921673,128,0.0040596116104843075,64,2,2,False,COMPLETE
2,0.628928602743169,2025-12-08 00:05:40.350514,2025-12-08 00:06:06.722977,0 days 00:00:26.372463,128,0.3682096494749166,128,0.015304852121831466,128,3,1,False,COMPLETE
3,0.5704351047810442,2025-12-08 00:06:06.724538,2025-12-08 00:06:55.697168,0 days 00:00:48.972630,64,0.6637281608315128,64,0.0017541893487450805,64,2,1,True,COMPLETE
4,0.5605699082723633,2025-12-08 00:06:55.698668,2025-12-08 00:07:29.723966,0 days 00:00:34.025298,64,0.6687496940092467,64,0.0756829206016762,64,1,1,True,COMPLETE
5,0.5951072392293709,2025-12-08 00:07:29.725323,2025-12-08 00:08:17.014862,0 days 00:00:47.289539,64,0.6208787923016159,64,0.0036464395589807202,64,1,1,True,COMPLETE
6,0.5334183585744422,2025-12-08 00:08:17.016222,2025-12-08 00:08:41.392872,0 days 00:00:24.376650,128,0.34634762381005185,128,0.034877126245459314,128,1,2,True,COMPLETE
7,0.566254791615692,2025-12-08 00:08:41.394231,2025-12-08 00:08:56.668342,0 days 00:00:15.274111,128,0.5852979148891979,64,0.059487468132197734,64,2,2,False,PRUNED
8,0.5111845145855423,2025-12-08 00:08:56.669567,2025-12-08 00:09:23.762622,0 days 00:00:27.093055,64,0.5034282764658811,128,0.001155735281626987,64,3,2,False,PRUNED
9,0.5286164804393334,2025-12-08 00:09:23.763892,2025-12-08 00:09:47.559769,0 days 00:00:23.795877,64,0.6485842360750871,64,0.0723427984566542,64,2,2,False,PRUNED
