number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_hidden_features,params_learning_rate,params_lstm_hidden,params_num_blocks,params_reduction_ratio,params_use_attention,state
0,0.7193219057728882,2025-12-08 00:14:55.569496,2025-12-08 00:15:25.894115,0 days 00:00:30.324619,128,0.6464704583099741,64,0.0020513382630874496,64,3,2,True,COMPLETE
1,0.730199141207556,2025-12-08 00:15:25.896181,2025-12-08 00:16:08.247152,0 days 00:00:42.350971,64,0.41649165607921673,128,0.0040596116104843075,64,2,2,False,COMPLETE
2,0.7708926597065697,2025-12-08 00:16:08.248704,2025-12-08 00:16:34.077283,0 days 00:00:25.828579,128,0.3682096494749166,128,0.015304852121831466,128,3,1,False,COMPLETE
3,0.6836568793566996,2025-12-08 00:16:34.078859,2025-12-08 00:17:21.751394,0 days 00:00:47.672535,64,0.6637281608315128,64,0.0017541893487450805,64,2,1,True,COMPLETE
4,0.7162580443900475,2025-12-08 00:17:21.753134,2025-12-08 00:18:04.963377,0 days 00:00:43.210243,64,0.6687496940092467,64,0.0756829206016762,64,1,1,True,COMPLETE
5,0.7174279689022769,2025-12-08 00:18:04.964811,2025-12-08 00:18:43.032247,0 days 00:00:38.067436,64,0.6208787923016159,64,0.0036464395589807202,64,1,1,True,PRUNED
6,0.6850406437756572,2025-12-08 00:18:43.034053,2025-12-08 00:19:00.893843,0 days 00:00:17.859790,128,0.34634762381005185,128,0.034877126245459314,128,1,2,True,PRUNED
7,0.7609476501976061,2025-12-08 00:19:00.895088,2025-12-08 00:19:40.875221,0 days 00:00:39.980133,128,0.5852979148891979,64,0.059487468132197734,64,2,2,False,COMPLETE
8,0.7405037653263736,2025-12-08 00:19:40.876719,2025-12-08 00:20:20.996892,0 days 00:00:40.120173,64,0.5034282764658811,128,0.001155735281626987,64,3,2,False,COMPLETE
9,0.6819332300247396,2025-12-08 00:20:20.998246,2025-12-08 00:20:52.887102,0 days 00:00:31.888856,64,0.6485842360750871,64,0.0723427984566542,64,2,2,False,PRUNED
