number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_hidden_features,params_learning_rate,params_lstm_hidden,params_num_blocks,params_reduction_ratio,params_use_attention,state
0,0.8251291342416976,2025-12-08 01:03:25.172646,2025-12-08 01:04:02.835615,0 days 00:00:37.662969,128,0.6464704583099741,64,0.0020513382630874496,64,3,2,True,COMPLETE
1,0.9111134096583032,2025-12-08 01:04:02.837102,2025-12-08 01:04:50.111133,0 days 00:00:47.274031,64,0.41649165607921673,128,0.0040596116104843075,64,2,2,False,COMPLETE
2,0.9000654995928331,2025-12-08 01:04:50.112697,2025-12-08 01:05:46.488779,0 days 00:00:56.376082,128,0.3682096494749166,128,0.015304852121831466,128,3,1,False,COMPLETE
3,0.8977965154384653,2025-12-08 01:05:46.490128,2025-12-08 01:06:40.758797,0 days 00:00:54.268669,64,0.6637281608315128,64,0.0017541893487450805,64,2,1,True,COMPLETE
4,0.7319265144260242,2025-12-08 01:06:40.760689,2025-12-08 01:07:42.596457,0 days 00:01:01.835768,64,0.6687496940092467,64,0.0756829206016762,64,1,1,True,COMPLETE
5,0.9332007407683474,2025-12-08 01:07:42.597977,2025-12-08 01:08:34.323977,0 days 00:00:51.726000,64,0.6208787923016159,64,0.0036464395589807202,64,1,1,True,COMPLETE
6,0.9237611835873647,2025-12-08 01:08:34.325469,2025-12-08 01:09:33.906402,0 days 00:00:59.580933,128,0.34634762381005185,128,0.034877126245459314,128,1,2,True,COMPLETE
7,0.8002229290704945,2025-12-08 01:09:33.907965,2025-12-08 01:09:57.983644,0 days 00:00:24.075679,128,0.5852979148891979,64,0.059487468132197734,64,2,2,False,PRUNED
8,0.8901202680310075,2025-12-08 01:09:57.984845,2025-12-08 01:11:06.702330,0 days 00:01:08.717485,64,0.5034282764658811,128,0.001155735281626987,64,3,2,False,COMPLETE
9,0.8649090612511214,2025-12-08 01:11:06.703784,2025-12-08 01:11:46.500756,0 days 00:00:39.796972,64,0.6485842360750871,64,0.0723427984566542,64,2,2,False,PRUNED
