number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_hidden_features,params_learning_rate,params_lstm_hidden,params_num_blocks,params_reduction_ratio,params_use_attention,state
0,0.7552295309421361,2025-12-08 01:23:15.958308,2025-12-08 01:23:47.041721,0 days 00:00:31.083413,128,0.6464704583099741,64,0.0020513382630874496,64,3,2,True,COMPLETE
1,0.7644286648879631,2025-12-08 01:23:47.043274,2025-12-08 01:24:30.159984,0 days 00:00:43.116710,64,0.41649165607921673,128,0.0040596116104843075,64,2,2,False,COMPLETE
2,0.7841170599072815,2025-12-08 01:24:30.162020,2025-12-08 01:25:13.038320,0 days 00:00:42.876300,128,0.3682096494749166,128,0.015304852121831466,128,3,1,False,COMPLETE
3,0.8311910003295385,2025-12-08 01:25:13.039913,2025-12-08 01:25:53.993471,0 days 00:00:40.953558,64,0.6637281608315128,64,0.0017541893487450805,64,2,1,True,COMPLETE
4,0.4953112758023175,2025-12-08 01:25:53.994907,2025-12-08 01:26:29.336999,0 days 00:00:35.342092,64,0.6687496940092467,64,0.0756829206016762,64,1,1,True,COMPLETE
5,0.7871659297212296,2025-12-08 01:26:29.338983,2025-12-08 01:27:28.281014,0 days 00:00:58.942031,64,0.6208787923016159,64,0.0036464395589807202,64,1,1,True,COMPLETE
6,0.7674505612806185,2025-12-08 01:27:28.282399,2025-12-08 01:28:13.549041,0 days 00:00:45.266642,128,0.34634762381005185,128,0.034877126245459314,128,1,2,True,COMPLETE
7,0.49627817198162194,2025-12-08 01:28:13.550674,2025-12-08 01:28:29.502100,0 days 00:00:15.951426,128,0.5852979148891979,64,0.059487468132197734,64,2,2,False,PRUNED
8,0.8696163988799174,2025-12-08 01:28:29.503313,2025-12-08 01:28:57.422782,0 days 00:00:27.919469,64,0.5034282764658811,128,0.001155735281626987,64,3,2,False,PRUNED
9,0.49627817198162194,2025-12-08 01:28:57.424041,2025-12-08 01:29:21.931677,0 days 00:00:24.507636,64,0.6485842360750871,64,0.0723427984566542,64,2,2,False,PRUNED
