number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_hidden_features,params_learning_rate,params_lstm_hidden,params_num_blocks,params_reduction_ratio,params_use_attention,state
0,0.7064943140363994,2025-12-08 01:29:22.305661,2025-12-08 01:29:51.652547,0 days 00:00:29.346886,128,0.6464704583099741,64,0.0020513382630874496,64,3,2,True,COMPLETE
1,0.7666299019144498,2025-12-08 01:29:51.654140,2025-12-08 01:30:50.317407,0 days 00:00:58.663267,64,0.41649165607921673,128,0.0040596116104843075,64,2,2,False,COMPLETE
2,0.7889082554993042,2025-12-08 01:30:50.319241,2025-12-08 01:31:42.103531,0 days 00:00:51.784290,128,0.3682096494749166,128,0.015304852121831466,128,3,1,False,COMPLETE
3,0.7133372750717036,2025-12-08 01:31:42.106214,2025-12-08 01:32:24.900779,0 days 00:00:42.794565,64,0.6637281608315128,64,0.0017541893487450805,64,2,1,True,COMPLETE
4,0.6977041204429127,2025-12-08 01:32:24.902263,2025-12-08 01:33:07.442761,0 days 00:00:42.540498,64,0.6687496940092467,64,0.0756829206016762,64,1,1,True,COMPLETE
5,0.7825177571772737,2025-12-08 01:33:07.444133,2025-12-08 01:33:56.492506,0 days 00:00:49.048373,64,0.6208787923016159,64,0.0036464395589807202,64,1,1,True,COMPLETE
6,0.7257659788489248,2025-12-08 01:33:56.493908,2025-12-08 01:34:23.810557,0 days 00:00:27.316649,128,0.34634762381005185,128,0.034877126245459314,128,1,2,True,PRUNED
7,0.7054930266699291,2025-12-08 01:34:23.811791,2025-12-08 01:34:42.877734,0 days 00:00:19.065943,128,0.5852979148891979,64,0.059487468132197734,64,2,2,False,PRUNED
8,0.6800831906043553,2025-12-08 01:34:42.878996,2025-12-08 01:35:12.893806,0 days 00:00:30.014810,64,0.5034282764658811,128,0.001155735281626987,64,3,2,False,PRUNED
9,0.7029483728896502,2025-12-08 01:35:12.895321,2025-12-08 01:35:43.209236,0 days 00:00:30.313915,64,0.6485842360750871,64,0.0723427984566542,64,2,2,False,PRUNED
