number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_hidden_features,params_learning_rate,params_lstm_hidden,params_num_blocks,params_reduction_ratio,params_use_attention,state
0,0.9823270797846136,2025-12-07 23:27:50.679146,2025-12-07 23:28:19.610796,0 days 00:00:28.931650,128,0.6464704583099741,64,0.0020513382630874496,64,3,2,True,COMPLETE
1,0.9259907173501724,2025-12-07 23:28:19.612515,2025-12-07 23:28:52.752351,0 days 00:00:33.139836,64,0.41649165607921673,128,0.0040596116104843075,64,2,2,False,COMPLETE
2,0.9651969467851517,2025-12-07 23:28:52.754414,2025-12-07 23:29:24.359031,0 days 00:00:31.604617,128,0.3682096494749166,128,0.015304852121831466,128,3,1,False,COMPLETE
3,0.9889623463761783,2025-12-07 23:29:24.360512,2025-12-07 23:29:58.669895,0 days 00:00:34.309383,64,0.6637281608315128,64,0.0017541893487450805,64,2,1,True,COMPLETE
4,0.4953112758023175,2025-12-07 23:29:58.671671,2025-12-07 23:30:31.544865,0 days 00:00:32.873194,64,0.6687496940092467,64,0.0756829206016762,64,1,1,True,COMPLETE
5,0.9734815620206546,2025-12-07 23:30:31.546265,2025-12-07 23:31:10.180822,0 days 00:00:38.634557,64,0.6208787923016159,64,0.0036464395589807202,64,1,1,True,COMPLETE
6,0.7462781719816219,2025-12-07 23:31:10.182228,2025-12-07 23:31:36.396945,0 days 00:00:26.214717,128,0.34634762381005185,128,0.034877126245459314,128,1,2,True,PRUNED
7,0.49627817198162194,2025-12-07 23:31:36.398265,2025-12-07 23:31:57.340496,0 days 00:00:20.942231,128,0.5852979148891979,64,0.059487468132197734,64,2,2,False,PRUNED
8,0.9643639724872903,2025-12-07 23:31:57.341949,2025-12-07 23:32:20.692553,0 days 00:00:23.350604,64,0.5034282764658811,128,0.001155735281626987,64,3,2,False,PRUNED
9,0.5775385368240764,2025-12-07 23:32:20.693800,2025-12-07 23:32:57.706331,0 days 00:00:37.012531,64,0.6485842360750871,64,0.0723427984566542,64,2,2,False,PRUNED
