number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_hidden_features,params_learning_rate,params_lstm_hidden,params_num_blocks,params_reduction_ratio,params_use_attention,state
0,0.9646477530440897,2025-12-07 23:47:29.932878,2025-12-07 23:47:53.359720,0 days 00:00:23.426842,128,0.6464704583099741,64,0.0020513382630874496,64,3,2,True,COMPLETE
1,0.9657614471701134,2025-12-07 23:47:53.361505,2025-12-07 23:48:25.980301,0 days 00:00:32.618796,64,0.41649165607921673,128,0.0040596116104843075,64,2,2,False,COMPLETE
2,0.9845409918285147,2025-12-07 23:48:25.982061,2025-12-07 23:48:49.842026,0 days 00:00:23.859965,128,0.3682096494749166,128,0.015304852121831466,128,3,1,False,COMPLETE
3,0.9586403589238454,2025-12-07 23:48:49.843578,2025-12-07 23:49:27.517758,0 days 00:00:37.674180,64,0.6637281608315128,64,0.0017541893487450805,64,2,1,True,COMPLETE
4,0.8062666168308027,2025-12-07 23:49:27.519291,2025-12-07 23:50:06.160781,0 days 00:00:38.641490,64,0.6687496940092467,64,0.0756829206016762,64,1,1,True,COMPLETE
5,0.9685716401646576,2025-12-07 23:50:06.162233,2025-12-07 23:50:35.149251,0 days 00:00:28.987018,64,0.6208787923016159,64,0.0036464395589807202,64,1,1,True,COMPLETE
6,0.952011798928853,2025-12-07 23:50:35.150712,2025-12-07 23:50:57.069123,0 days 00:00:21.918411,128,0.34634762381005185,128,0.034877126245459314,128,1,2,True,PRUNED
7,0.9320732403555991,2025-12-07 23:50:57.070383,2025-12-07 23:51:24.818987,0 days 00:00:27.748604,128,0.5852979148891979,64,0.059487468132197734,64,2,2,False,PRUNED
8,0.9453878150232444,2025-12-07 23:51:24.820262,2025-12-07 23:51:45.448381,0 days 00:00:20.628119,64,0.5034282764658811,128,0.001155735281626987,64,3,2,False,PRUNED
9,0.49627817198162194,2025-12-07 23:51:45.449774,2025-12-07 23:52:09.403563,0 days 00:00:23.953789,64,0.6485842360750871,64,0.0723427984566542,64,2,2,False,PRUNED
