number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_hidden_features,params_learning_rate,params_lstm_hidden,params_num_blocks,params_reduction_ratio,params_use_attention,state
0,0.6844035831169969,2025-12-07 23:36:43.579197,2025-12-07 23:37:05.025824,0 days 00:00:21.446627,128,0.6464704583099741,64,0.0020513382630874496,64,3,2,True,COMPLETE
1,0.6910125604501408,2025-12-07 23:37:05.027427,2025-12-07 23:37:27.775684,0 days 00:00:22.748257,64,0.41649165607921673,128,0.0040596116104843075,64,2,2,False,COMPLETE
2,0.7064308879371822,2025-12-07 23:37:27.778659,2025-12-07 23:37:45.344872,0 days 00:00:17.566213,128,0.3682096494749166,128,0.015304852121831466,128,3,1,False,COMPLETE
3,0.6421150619116387,2025-12-07 23:37:45.346487,2025-12-07 23:38:11.105711,0 days 00:00:25.759224,64,0.6637281608315128,64,0.0017541893487450805,64,2,1,True,COMPLETE
4,0.6273598262802442,2025-12-07 23:38:11.107165,2025-12-07 23:38:35.691035,0 days 00:00:24.583870,64,0.6687496940092467,64,0.0756829206016762,64,1,1,True,COMPLETE
5,0.6685603754829875,2025-12-07 23:38:35.692935,2025-12-07 23:38:58.872701,0 days 00:00:23.179766,64,0.6208787923016159,64,0.0036464395589807202,64,1,1,True,COMPLETE
6,0.5858866321716548,2025-12-07 23:38:58.874061,2025-12-07 23:39:17.790305,0 days 00:00:18.916244,128,0.34634762381005185,128,0.034877126245459314,128,1,2,True,COMPLETE
7,0.49627817198162194,2025-12-07 23:39:17.792316,2025-12-07 23:39:30.935510,0 days 00:00:13.143194,128,0.5852979148891979,64,0.059487468132197734,64,2,2,False,PRUNED
8,0.664293695757212,2025-12-07 23:39:30.936848,2025-12-07 23:39:55.434771,0 days 00:00:24.497923,64,0.5034282764658811,128,0.001155735281626987,64,3,2,False,COMPLETE
9,0.5211442786069651,2025-12-07 23:39:55.436195,2025-12-07 23:40:11.489534,0 days 00:00:16.053339,64,0.6485842360750871,64,0.0723427984566542,64,2,2,False,PRUNED
