fold,test_subjects,val_subjects,train_loss,train_acc,test_loss,test_acc,train_bal_acc,test_bal_acc,train_f1_acc,test_f1_acc
1,Sub20,Sub09_Sub21,0.19266458605969702,0.9176289453425712,1.5303441256284713,0.5910543130990416,0.907047661732263,0.5752826027019574,0.9172519987148183,0.578215726815689
2,Sub19,Sub11_Sub22,0.22368529902679937,0.9037785588752196,1.4782328040106223,0.7123745819397993,0.8902387438565325,0.6177777777777778,0.90321281848477,0.6516481503969688
3,Sub04,Sub15_Sub00,0.16750713870663878,0.9311027955095752,2.080434685945511,0.260655737704918,0.9170141485018143,0.18645640074211503,0.9310127907698447,0.2785496070871472
4,Sub15,Sub07_Sub21,0.2322797842480086,0.9007348908632226,1.5903075009584426,0.4273927392739274,0.8861745350052295,0.38098809256557037,0.9000647790610281,0.390003027520494
5,Sub07,Sub18_Sub15,0.24612171192477633,0.8921912700153543,0.8978727802634239,0.6039933444259568,0.8772472350356004,0.4840596440596441,0.8914525631133161,0.603090825112094
6,Sub11,Sub04_Sub09,0.2062153324589763,0.9135028062066689,1.3191372573375701,0.6124401913875598,0.8994765219672285,0.6040718913702784,0.9130499946619274,0.6179545377834011
7,Sub23,Sub17_Sub03,0.16192214477520722,0.9389707499450187,1.217009011504706,0.6567656765676567,0.9329964917309912,0.543859649122807,0.9389576072536715,0.590972940994259
8,Sub09,Sub02_Sub20,0.1932553966510129,0.9205145118733509,5.201109397271648,0.20991735537190082,0.909201986426248,0.14650188323917138,0.9200764786367255,0.21266286780404076
9,Sub17,Sub03_Sub19,0.19422947745639962,0.9258404746209624,1.3759579867124558,0.5804311774461028,0.9151769663866179,0.5493348728681052,0.925734251243744,0.5807968276816879
10,Sub22,Sub18_Sub14,0.25269976258277893,0.8937055281882869,0.15832650735974313,0.955,0.8793648593994275,0.945253015763129,0.8931230162840832,0.9542479755880701
11,Sub01,Sub02_Sub22,0.2457271693469761,0.8943569553805775,1.340279742050916,0.7066895368782161,0.8804547020395198,0.6450695996350494,0.8936928818355877,0.6289135631454348
12,Sub18,Sub03_Sub20,0.1665730361472553,0.934310591865976,2.7768697679042815,0.48841059602649006,0.927583284839789,0.4126064092507045,0.9343689005912519,0.4776666727984187
13,Sub02,Sub03_Sub17,0.15110884009619485,0.9429544954935151,1.379545202665031,0.6212624584717608,0.9376662254675113,0.5035672514619883,0.9429449269433827,0.5981869335889659
14,Sub21,Sub18_Sub09,0.24964455457834098,0.8944596818431158,2.8100511256605385,0.2727272727272727,0.8796587914972714,0.34340501792114697,0.8938162735002246,0.14384503080155256
15,Sub24,Sub02_Sub01,0.23236920809620745,0.9020144514998906,0.3484439168125391,0.860655737704918,0.8895645491849554,0.8253446115288221,0.9015191580682337,0.8568455033679968
16,Sub14,Sub11_Sub17,0.23248320625170127,0.9029531232846635,4.228988265991211,0.26610169491525426,0.8880676124189494,0.21478927203065135,0.9022951819483227,0.24836047364553054
17,Sub00,Sub03_Sub14,0.1692275785854165,0.9348448162007484,2.576499491930008,0.18181818181818182,0.9266934433347808,0.2402808917466898,0.9348093606711966,0.08930618404831311
18,Sub03,Sub04_Sub20,0.13117544932789366,0.9529061431565016,2.7506112188100813,0.33226837060702874,0.9457197923666237,0.22973276723276725,0.9528674084943577,0.26172097481856715
