fold,test_subjects,val_subjects,train_loss,train_acc,test_loss,test_acc,train_bal_acc,test_bal_acc,train_f1_acc,test_f1_acc
1,Sub20,Sub09_Sub21,0.022908344990153436,0.9939513911800286,0.04701822334900498,0.9792332268370607,0.9935229851593106,0.9789650537634409,0.9939510227432548,0.9791728997461655
2,Sub19,Sub11_Sub22,0.01714963385085058,0.9946177504393673,1.7784450590610503,0.7424749163879598,0.9941201753705858,0.8244295302013422,0.9946177798246618,0.7423866923295901
3,Sub04,Sub15_Sub00,0.004218667979650593,0.9987893462469734,1.5305732503533362,0.8016393442622951,0.9986162375858232,0.7456309122975789,0.9987893591152319,0.7748459222997306
4,Sub15,Sub07_Sub21,0.015898890062493995,0.995722277064824,0.5578899250591348,0.9438943894389439,0.9954967571155459,0.9253173289183222,0.9957221118398539,0.942245361851906
5,Sub07,Sub18_Sub15,0.009306486666901037,0.996819477955692,0.18051003440377827,0.940099833610649,0.9966555474656271,0.9228892095558763,0.9968196669665372,0.9383509818979817
6,Sub11,Sub04_Sub09,0.01497827908745639,0.9952679652250468,0.41595686748742083,0.9090909090909091,0.9951811887016587,0.8913995726495726,0.9952679638525321,0.9056033546464166
7,Sub23,Sub17_Sub03,0.018601813841895718,0.9951616450406862,3.4761217925697565,0.6188118811881188,0.9949051287982411,0.4945102823283374,0.9951625521223811,0.5354452118428474
8,Sub09,Sub02_Sub20,0.03188049317234092,0.9915347405452947,0.22452755495905877,0.943801652892562,0.9908455968410373,0.9297857815442562,0.9915328937010265,0.943250546038054
9,Sub17,Sub03_Sub19,0.008959458927468708,0.997582948802461,0.21135682099993575,0.9519071310116086,0.9977343121764283,0.9499030574198359,0.9975833631996524,0.9516243531461558
10,Sub22,Sub18_Sub14,0.01798256165865395,0.9945265462506842,0.16945422552525996,0.9483333333333334,0.9939874707426815,0.9599171184453693,0.9945260594108833,0.9489890412026472
11,Sub01,Sub02_Sub22,0.012621206094788957,0.9956255468066492,2.9701800882816314,0.6672384219554031,0.995573490038895,0.6870581965799909,0.9956256906078724,0.6812485549901997
12,Sub18,Sub03_Sub20,0.01870313058377729,0.9937176237187259,0.0980166993685998,0.9817880794701986,0.9930096619768428,0.9876957494407158,0.9937170494429133,0.9818798894788839
13,Sub02,Sub03_Sub17,0.012364440838508826,0.9961530006594856,2.153469279408455,0.5431893687707641,0.9959266694224888,0.4175438596491228,0.9961529165193904,0.4753855773858085
14,Sub21,Sub18_Sub09,0.015586831669982834,0.9957213384530993,0.6575380973517895,0.8842975206611571,0.9956392283685362,0.8524372759856632,0.99572184516746,0.8753171258258026
15,Sub24,Sub02_Sub01,0.009438735753064975,0.9977008977446902,0.0453699171775952,0.9868852459016394,0.9974661725973579,0.9901315789473685,0.9977009494465601,0.9869468069593512
16,Sub14,Sub11_Sub17,0.009243875152606051,0.9970358985618619,0.6012380599975586,0.8932203389830509,0.9968743511788484,0.913639846743295,0.9970359328255373,0.8928934736456114
17,Sub00,Sub03_Sub14,0.007434813561521365,0.99801893022232,15.324478673934937,0.34609250398724084,0.9978167064698219,0.39583929015270014,0.998018925212161,0.2864579681894655
18,Sub03,Sub04_Sub20,0.012901182438109175,0.9963604279254439,0.7138847539201378,0.8642172523961661,0.9959851600109967,0.831280525030525,0.9963602140877363,0.8599881521080464
