fold,test_subjects,val_subjects,train_loss,train_acc,test_loss,test_acc,train_bal_acc,test_bal_acc,train_f1_acc,test_f1_acc
1,Sub20,Sub09_Sub21,0.0017409607110797272,1.0,0.015454746363684536,0.9968051118210862,1.0,0.9957799145299145,1.0,0.9968051118210862
2,Sub19,Sub11_Sub22,0.0010224047374928584,1.0,0.2643138997256756,0.9264214046822743,1.0,0.9463683818046235,1.0,0.9279748659702488
3,Sub04,Sub15_Sub00,0.0008350227251124214,1.0,0.5194916628301144,0.9114754098360656,1.0,0.900356551150202,1.0,0.912677053118659
4,Sub15,Sub07_Sub21,0.001082040460055901,1.0,0.10966597376391292,0.9702970297029703,1.0,0.9624200246941296,1.0,0.9699100076106424
5,Sub07,Sub18_Sub15,0.0010319388929929119,1.0,0.014159394346643239,0.9950083194675541,1.0,0.9944909411576078,1.0,0.9950098042327925
6,Sub11,Sub04_Sub09,0.0005029421026078972,1.0,0.049648835641073676,0.9904306220095693,1.0,0.991559829059829,1.0,0.9904458406644011
7,Sub23,Sub17_Sub03,0.001052191101431769,1.0,1.3085683480836452,0.7161716171617162,1.0,0.6228070175438597,1.0,0.6773081567384619
8,Sub09,Sub02_Sub20,0.0011941999647307158,1.0,0.12468751701671862,0.9702479338842975,1.0,0.9633145009416196,1.0,0.9699447456707392
9,Sub17,Sub03_Sub19,0.0014195534808499764,0.9998901340364755,0.035542567318771034,0.9850746268656716,0.9998559492941516,0.9833109619686801,0.999890128293069,0.9850242550333603
10,Sub22,Sub18_Sub14,0.001349950550825775,1.0,0.09486019611358643,0.9683333333333334,1.0,0.9654830340311733,1.0,0.9683496143041441
11,Sub01,Sub02_Sub22,0.001378062498487351,0.9998906386701663,0.7041330754756927,0.8439108061749572,0.9998556998556998,0.8092931227773198,0.9998906328907614,0.8415666722569636
12,Sub18,Sub03_Sub20,0.000722822681574387,1.0,0.04873687708750367,0.9817880794701986,1.0,0.9812492640998469,1.0,0.9817397580213288
13,Sub02,Sub03_Sub17,0.0008395933307636167,1.0,2.11781787276268,0.6411960132890365,1.0,0.5364619883040936,1.0,0.5933530776844513
14,Sub21,Sub18_Sub09,0.0011957190714989945,1.0,0.10773573218029923,0.9669421487603306,1.0,0.9580286738351255,1.0,0.9663586333530415
15,Sub24,Sub02_Sub01,0.000730620272507723,1.0,0.014119226299226285,0.9983606557377049,1.0,0.9978070175438596,1.0,0.9983592964804032
16,Sub14,Sub11_Sub17,0.001206211352837272,1.0,0.27445592957083137,0.9525423728813559,1.0,0.9645977011494252,1.0,0.9526819620326883
17,Sub00,Sub03_Sub14,0.0009046044639470777,0.9998899405679067,4.73199827671051,0.38118022328548645,0.9998552612534376,0.3770227914492268,0.9998899347589382,0.37368851279753734
18,Sub03,Sub04_Sub20,0.001500704785658073,0.9998897099371347,0.2178410802036524,0.9472843450479234,0.9998551354483558,0.9336455211455211,0.9998897041152118,0.9467794390121945
