fold,test_subjects,val_subjects,train_loss,train_acc,test_loss,test_acc,train_bal_acc,test_bal_acc,train_f1_acc,test_f1_acc
1,Sub20,Sub09_Sub21,0.23540355804395843,0.9076212471131639,0.04278835821896791,0.9888178913738019,0.8975822500859603,0.990403570443893,0.9073712482235915,0.9888269659652894
2,Sub19,Sub11_Sub22,0.29034424838903067,0.8876318101933216,0.1309880838729441,0.9581939799331104,0.8741649090516818,0.9609992542878448,0.8872522656145603,0.9584393810084706
3,Sub04,Sub15_Sub00,0.12444081388308968,0.9553158705701078,2.1126265466213225,0.380327868852459,0.9479458983107568,0.40591096146651706,0.9552507473177168,0.35824761000488325
4,Sub15,Sub07_Sub21,0.23873293665530798,0.9089612811231765,0.498089474439621,0.83003300330033,0.9020317303282508,0.8005551502226212,0.9087952021134494,0.8274096734441059
5,Sub07,Sub18_Sub15,0.2518896200023331,0.9061197631059443,0.7121309995651245,0.6738768718801996,0.8964832260657424,0.6055892255892256,0.9058879053038355,0.6713530032385354
6,Sub11,Sub04_Sub09,0.2092583058795459,0.9184549356223176,1.1504211366176604,0.6889952153110048,0.9072630875411146,0.6290667218086573,0.918447181041756,0.6308449387117442
7,Sub23,Sub17_Sub03,0.19347062290131628,0.925225423356059,0.5582646890543401,0.7739273927392739,0.9173385131510035,0.7060967816893227,0.9251381144830042,0.7685017321831371
8,Sub09,Sub02_Sub20,0.2829832323156037,0.883245382585752,0.26199413388967513,0.9024793388429752,0.869046351276531,0.9079708097928437,0.8828504869915431,0.9029525860645411
9,Sub17,Sub03_Sub19,0.24454680694775147,0.90551527136893,0.3971063941717148,0.8590381426202321,0.8945856050096049,0.8381155132183494,0.9053133996666523,0.859937996479746
10,Sub22,Sub18_Sub14,0.2576476080746917,0.896551724137931,0.775848639011383,0.7233333333333334,0.8843740534324507,0.7690123127171029,0.8962506353827346,0.7247938457350462
11,Sub01,Sub02_Sub22,0.284845416362469,0.8888888888888888,0.31107371896505354,0.8833619210977701,0.8735419439876804,0.8713293555042446,0.8883496527763954,0.8811691782026643
12,Sub18,Sub03_Sub20,0.10934098891284265,0.9615342224181638,1.6080167710781097,0.6059602649006622,0.9590160969677369,0.5834275667815053,0.9615501312333323,0.5946859338564909
13,Sub02,Sub03_Sub17,0.20360608466646887,0.9214112991866344,0.4451550468802452,0.8289036544850499,0.9103656700904956,0.7973099415204677,0.9211502959012677,0.8276669371060615
14,Sub21,Sub18_Sub09,0.18416613934340176,0.9296763576522216,0.16839095081668348,0.9289256198347108,0.921976026652298,0.9126164874551971,0.9295393995096883,0.9290012077776906
15,Sub24,Sub02_Sub01,0.21069703558525005,0.9186555725859427,0.03823280182259623,0.9852459016393442,0.9098627553119488,0.9847915242652086,0.9185067850563383,0.9852173335390281
16,Sub14,Sub11_Sub17,0.27279061115496644,0.8921945328795696,0.31225403170101346,0.8779661016949153,0.8820730008733527,0.8410727969348658,0.892019223251517,0.868931581202959
17,Sub00,Sub03_Sub14,0.03702366100394652,0.9878934624697336,5.879348516464233,0.32854864433811803,0.9878064390649876,0.30151860880639186,0.9878964466995899,0.33456084689533544
18,Sub03,Sub04_Sub20,0.09832778503514931,0.9659203705746112,2.3758144974708557,0.4536741214057508,0.9605870821652358,0.4210705960705961,0.9659358126924886,0.4518290036416526
