fold,test_subjects,val_subjects,train_loss,train_acc,test_loss,test_acc,train_bal_acc,test_bal_acc,train_f1_acc,test_f1_acc
1,Sub20,Sub09_Sub21,0.3481290554041629,0.8515341471461564,0.4686272442340851,0.8130990415335463,0.8304336526728305,0.799850082712986,0.8503199232259789,0.8149176313400198
2,Sub19,Sub11_Sub22,0.3518327968520718,0.8543497363796133,0.7180781062692404,0.7357859531772575,0.8304764054759529,0.6499925428784489,0.8527466140339843,0.7127546819132192
3,Sub04,Sub15_Sub00,0.40188631299935595,0.8396434074400176,1.2832864217460156,0.5557377049180328,0.8037884975427398,0.4441352298495156,0.8376037258146896,0.45975712859510287
4,Sub15,Sub07_Sub21,0.4119209670103513,0.8261489525063069,1.8041616141796113,0.35973597359735976,0.7932611990112087,0.28114640625584614,0.8227873646606408,0.30925235572313187
5,Sub07,Sub18_Sub15,0.29173595062294205,0.8796885281860057,0.8958436921238899,0.5990016638935108,0.8614238202158543,0.48260060926727594,0.878646986202376,0.5958322852154068
6,Sub11,Sub04_Sub09,0.3878239081569121,0.8345988775173324,0.5769219279289246,0.7767145135566188,0.7999976621251451,0.7532809484422388,0.8310981455559172,0.7767197552926699
7,Sub23,Sub17_Sub03,0.3407033166060081,0.861007257532439,0.9740862533129985,0.6749174917491749,0.8396116627695167,0.5712501452306262,0.8597707569657654,0.6179140565361564
8,Sub09,Sub02_Sub20,0.23698287155036327,0.9022647317502199,8.425152254104614,0.1933884297520661,0.8882183961324461,0.13615583804143125,0.9016156541475969,0.2237854088439147
9,Sub17,Sub03_Sub19,0.2839198555354472,0.8856295319709954,1.6839804232120514,0.4842454394693201,0.8664853860313132,0.46120949700512376,0.8847662503213735,0.4884617525376399
10,Sub22,Sub18_Sub14,0.28888231078227916,0.8764094143404488,0.8002694958355278,0.805,0.8564499522044388,0.7506445894651783,0.8749948851860712,0.7830638030080094
11,Sub01,Sub02_Sub22,0.373273569178748,0.8426290463692039,0.8280603458348196,0.7392795883361921,0.8181457778542555,0.6714258108477099,0.8403797700993304,0.7033082683889045
12,Sub18,Sub03_Sub20,0.27383194554229856,0.8903339578970572,2.9605215936899185,0.4817880794701987,0.8752312798126343,0.42071182379377364,0.8899604683047447,0.4852533815714903
13,Sub02,Sub03_Sub17,0.33497066493634575,0.8656847658826116,0.6839531421661377,0.707641196013289,0.8460519164747459,0.6511988304093568,0.8650148790606674,0.714850522230688
14,Sub21,Sub18_Sub09,0.38578685315755695,0.8286341195831047,1.1271150171756745,0.6644628099173554,0.7995278294021263,0.6248028673835125,0.8261276237195366,0.6385738426138903
15,Sub24,Sub02_Sub01,0.29534868041535356,0.8722356032406394,1.7469628155231476,0.5442622950819672,0.8540517277196745,0.5578149920255183,0.8711300645945396,0.553594128650159
16,Sub14,Sub11_Sub17,0.3014568431185676,0.8722142935558239,7.884642863273621,0.22033898305084745,0.8514612250994956,0.20521072796934867,0.8710388221559335,0.19700897308075774
17,Sub00,Sub03_Sub14,0.29931987748599387,0.8769535549196567,6.841213523410261,0.24082934609250398,0.857312925170068,0.3225249235021222,0.8759985567714758,0.10621967046113755
18,Sub03,Sub04_Sub20,0.10359482316326507,0.9637145693173045,3.786779451370239,0.14696485623003194,0.9583886759016896,0.14205516705516705,0.9637004451383384,0.15321829612954305
