fold,test_subjects,val_subjects,train_loss,train_acc,test_loss,test_acc,train_bal_acc,test_bal_acc,train_f1_acc,test_f1_acc
1,Sub20,Sub09_Sub21,0.02815402696918075,0.9929616188276696,0.7767598103440833,0.7827476038338658,0.9935547718673431,0.8452715743038324,0.9929646709850355,0.7794290468811714
2,Sub19,Sub11_Sub22,0.013451750362744659,0.9970342706502636,0.7412381613627076,0.8712374581939799,0.9971512979687219,0.9061446681580909,0.9970347277787529,0.8748139702679175
3,Sub04,Sub15_Sub00,0.003795840282076773,0.9990094651111601,3.2805222284718183,0.7081967213114754,0.9990484556131505,0.7074829931972789,0.9990094700263584,0.713865979371301
4,Sub15,Sub07_Sub21,0.004866572843335841,0.9985740923549413,0.069443683559075,0.9851485148514851,0.9986153215633294,0.9801324503311258,0.9985742101225565,0.9849958325171837
5,Sub07,Sub18_Sub15,0.009078805887030385,0.9970388243035754,0.12166432103549596,0.9816971713810316,0.9970853826470499,0.9777553310886645,0.9970389513421396,0.9817755433216363
6,Sub11,Sub04_Sub09,0.00463267880234487,0.9988995267965225,0.06461956219063722,0.9872408293460925,0.9989030346555504,0.9833333333333334,0.9988995541913753,0.9871330423962004
7,Sub23,Sub17_Sub03,0.011210990633521255,0.9973608972949197,1.644095668196678,0.7623762376237624,0.9975838514762438,0.7005489717671662,0.9973610534251953,0.7202226880784962
8,Sub09,Sub02_Sub20,0.02400309431535182,0.9938434476693052,0.1112328794784844,0.9801652892561984,0.9937979022199586,0.976906779661017,0.9938447785137902,0.9800404450144912
9,Sub17,Sub03_Sub19,0.009655694380247345,0.9979125466930345,1.0712807506322861,0.8524046434494196,0.9978865028454016,0.8058916071299703,0.9979124708266397,0.8368253108198503
10,Sub22,Sub18_Sub14,0.018925886717624962,0.9972632731253421,0.0912385004106909,0.9783333333333334,0.9973115158380309,0.9731618444778644,0.9972633989852843,0.9781031745154992
11,Sub01,Sub02_Sub22,0.010984802803755479,0.9968285214348207,1.2461041659116745,0.888507718696398,0.9970169625259927,0.8720736517081483,0.9968287991383542,0.888939430318307
12,Sub18,Sub03_Sub20,0.007449132584414157,0.9982365259561335,0.05575708307733294,0.9801324503311258,0.9981018010510625,0.9769074531967502,0.9982362648934231,0.9800195184731781
13,Sub02,Sub03_Sub17,0.009339815256276375,0.9974719718619477,2.5903061121702193,0.627906976744186,0.997658023123101,0.5106432748538011,0.9974717794768241,0.5812193303206223
14,Sub21,Sub18_Sub09,0.010985439767763536,0.9973669775095996,0.23223437575215938,0.9454545454545454,0.9973032241861882,0.9300716845878135,0.9973669610246326,0.943510180002856
15,Sub24,Sub02_Sub01,0.024787878889280062,0.9949638712502737,0.026900705421576278,0.9885245901639345,0.9951194417401575,0.9880525176577808,0.9949645264662422,0.9885149005203593
16,Sub14,Sub11_Sub17,0.010689611357116114,0.9973652431660994,0.6334323384216987,0.8694915254237288,0.9973761804963605,0.8331800766283525,0.9973652814052665,0.855554495582113
17,Sub00,Sub03_Sub14,0.032755239241966376,0.9900946511116002,6.4470196723937985,0.38118022328548645,0.9896462042263714,0.4769982251439023,0.990096009940282,0.3092639507711278
18,Sub03,Sub04_Sub20,0.0028011552552105598,0.9992279695599426,0.7884484082460403,0.8849840255591054,0.9990537644142495,0.85743006993007,0.9992278258402236,0.8828431117180346
