fold,test_subjects,val_subjects,train_loss,train_acc,test_loss,test_acc,train_bal_acc,test_bal_acc,train_f1_acc,test_f1_acc
1,Sub20,Sub09_Sub21,0.023239689618609585,0.9978005058836468,0.1655992935635197,0.9792332268370607,0.9978815542517858,0.984005376344086,0.9978010515996263,0.9792656116367972
2,Sub19,Sub11_Sub22,0.013927940612718287,0.9956063268892794,0.4468981959682424,0.9046822742474916,0.995834546193909,0.9274123788217749,0.9956062286972353,0.9068090715279344
3,Sub04,Sub15_Sub00,0.00951413225686312,0.9966982170372001,0.506737206003163,0.9114754098360656,0.9966375688321141,0.8864228070577277,0.9966987974574354,0.9083353536188795
4,Sub15,Sub07_Sub21,0.006789076140181364,0.9981353515410771,0.1961317081573725,0.9438943894389439,0.9982469621087061,0.9260223743779697,0.9981353112397087,0.9415466838004962
5,Sub07,Sub18_Sub15,0.005394501822389633,0.9985742487387586,0.017402372885442663,0.9933444259567388,0.9984049917371358,0.9912265512265512,0.9985742086879817,0.9933444259567388
6,Sub11,Sub04_Sub09,0.005958656434762508,0.9980191482337405,0.1283259213410929,0.9728867623604466,0.9980245167613822,0.9666132478632479,0.9980190991576086,0.9725822392869242
7,Sub23,Sub17_Sub03,0.00855208530561753,0.9973608972949197,2.2984949614487165,0.6765676567656765,0.9975838514762438,0.5701754385964912,0.9973609675454076,0.6327917262947289
8,Sub09,Sub02_Sub20,0.011196743575831667,0.9968117854001759,0.1444380931527121,0.9702479338842975,0.9967206959181106,0.964267890772128,0.9968118116369077,0.9699913061177043
9,Sub17,Sub03_Sub19,0.004655203790061169,0.9985717424741815,0.3029859285406019,0.9684908789386402,0.9986136674082721,0.9776435495898582,0.9985717938288164,0.9687866910967127
10,Sub22,Sub18_Sub14,0.004876212124310603,0.9985769020251779,0.4110141720857882,0.9383333333333334,0.9985472670569053,0.9554286197525643,0.9985769654418271,0.9393936439307944
11,Sub01,Sub02_Sub22,0.005003712277630893,0.9983595800524935,1.629307322308557,0.8353344768439108,0.998330696577233,0.8300196787874139,0.9983595800524935,0.840788855796221
12,Sub18,Sub03_Sub20,0.0077444587022653935,0.997465006061942,0.07576772234751843,0.9867549668874173,0.9974427781946003,0.9878282114682678,0.9974651410851529,0.9867433503301908
13,Sub02,Sub03_Sub17,0.009694048633369116,0.9963728291932292,2.0871166467666624,0.6345514950166113,0.9967749264453731,0.5310526315789473,0.996373037650926,0.5869399213118905
14,Sub21,Sub18_Sub09,0.009574050107059863,0.9971475589687329,0.14661169520113618,0.9752066115702479,0.9970222980988105,0.9698207885304658,0.997147475923509,0.9749666222890172
15,Sub24,Sub02_Sub01,0.005859467466431019,0.9982483030435735,0.043865930961697865,0.9934426229508196,0.9981154080052156,0.9945175438596491,0.998248408391914,0.9934532315333752
16,Sub14,Sub11_Sub17,0.006840054150320707,0.9975848062355912,0.5830474899879846,0.9101694915254237,0.997384598177781,0.9015325670498084,0.997584796426542,0.9086249694452081
17,Sub00,Sub03_Sub14,0.0054241407089879,0.99867928681488,5.591994595527649,0.4513556618819777,0.998614804964539,0.452530881595675,0.9986792867785658,0.450672304614409
18,Sub03,Sub04_Sub20,0.013778236343748343,0.9958089776111172,0.3521827208693139,0.9217252396166135,0.9957547569500749,0.9001096126096128,0.9958090864343047,0.9211543601868674
