fold,test_subjects,val_subjects,train_loss,train_acc,test_loss,test_acc,train_bal_acc,test_bal_acc,train_f1_acc,test_f1_acc
1,Sub20,Sub09_Sub21,0.2941018854164415,0.9010227647641043,0.04225558629259467,0.9840255591054313,0.8883270805188995,0.987231182795699,0.9005731150453723,0.9840930277329104
2,Sub19,Sub11_Sub22,0.22263468087961277,0.9202548330404218,0.054812872968614104,0.9832775919732442,0.9099474113387171,0.9799850857568978,0.9199612388202335,0.9832586308525884
3,Sub04,Sub15_Sub00,0.09874464036293433,0.9679727052608409,2.9328593254089355,0.45901639344262296,0.9630731229462274,0.3665758110202555,0.9679363509406543,0.397594727094467
4,Sub15,Sub07_Sub21,0.12678064669792852,0.9557968630031809,0.29237898513674737,0.9042904290429042,0.9526284997329176,0.876935776555543,0.9557328346993494,0.9015556273078141
5,Sub07,Sub18_Sub15,0.17302347191919884,0.9386926957666155,0.6701699040830136,0.7687188019966722,0.9331840914940631,0.6990860990860991,0.9385732994432591,0.7673108308441535
6,Sub11,Sub04_Sub09,0.15754184494136084,0.947727522834819,0.5711320728063584,0.7703349282296651,0.941905603666338,0.7045044113592501,0.9476861546290573,0.7581873023052794
7,Sub23,Sub17_Sub03,0.15154369620399344,0.9466681328348362,0.6231922701001167,0.7871287128712872,0.9416517755331172,0.730176019518996,0.9466163664758354,0.7711700106045435
8,Sub09,Sub02_Sub20,0.27792513039377,0.9105101143359718,0.3051015272736549,0.8776859504132232,0.9007525665888654,0.8698328625235404,0.9103009133521307,0.8787690726166504
9,Sub17,Sub03_Sub19,0.10032745719783837,0.9662711491979785,0.3902292013168335,0.8590381426202321,0.9633969163947437,0.8434620288181666,0.9662666049237736,0.8589753121644166
10,Sub22,Sub18_Sub14,0.13964543843434918,0.9517241379310345,0.3757150784134865,0.8783333333333333,0.9482244759901239,0.8831894119375114,0.9517050925569851,0.8807923676352015
11,Sub01,Sub02_Sub22,0.17356484259168306,0.9356955380577427,0.24539513140916824,0.9193825042881647,0.9310858718742606,0.9168946576484943,0.935647060319615,0.9205231411315398
12,Sub18,Sub03_Sub20,0.09480727726305035,0.9663837760387964,1.0514137029647828,0.7019867549668874,0.9623615748810618,0.7011708267006749,0.9663596455841346,0.695131973987348
13,Sub02,Sub03_Sub17,0.22533401319136223,0.9243789843921741,0.42512874603271483,0.8471760797342193,0.9148840018296417,0.8271929824561403,0.9242160343599173,0.8480735573829032
14,Sub21,Sub18_Sub09,0.1785040736819307,0.9393307734503565,0.18249534741044043,0.9421487603305785,0.9332316971431309,0.9273118279569893,0.9392163149535163,0.9416534396974305
15,Sub24,Sub02_Sub01,0.1572966202058726,0.9438362163345742,0.02932625027387985,0.9901639344262295,0.937891917661798,0.987012987012987,0.9437374700679512,0.9901142841178778
16,Sub14,Sub11_Sub17,0.1828989121131599,0.9341310791524865,0.2109941993490793,0.9101694915254237,0.9254500034919505,0.8822222222222221,0.9338736932133187,0.9089312064021743
17,Sub00,Sub03_Sub14,0.09824873911033213,0.9672022892361876,3.645483446121216,0.3763955342902711,0.9627759082356345,0.3303697466799386,0.96716026608967,0.3761532871551769
18,Sub03,Sub04_Sub20,0.06604821271669696,0.9797066284327782,2.337313747406006,0.5303514376996805,0.9763985858899157,0.5172535797535797,0.9796948963552841,0.5276292042459362
