fold,test_subjects,val_subjects,train_loss,train_acc,test_loss,test_acc,train_bal_acc,test_bal_acc,train_f1_acc,test_f1_acc
1,Sub20,Sub09_Sub21,0.47077993142021285,0.798636313647861,1.705843578837812,0.6198083067092651,0.78248740470022,0.5520247449682935,0.7979207075216859,0.5616704173955244
2,Sub19,Sub11_Sub22,0.22921919512686195,0.9085017574692443,1.583469344675541,0.5702341137123745,0.9017275170782885,0.47303504847129013,0.9088727974101247,0.5273603597450618
3,Sub04,Sub15_Sub00,0.31316940024705,0.8746423068456967,3.595013426616788,0.4786885245901639,0.8567476668929578,0.3362193362193362,0.875316001756769,0.3272225539866309
4,Sub15,Sub07_Sub21,0.2499998299912973,0.9002961500493584,3.7140013933181764,0.07260726072607261,0.8988156860733798,0.07570738391888353,0.9006877406378627,0.06664563085211804
5,Sub07,Sub18_Sub15,0.5214126428940913,0.7634349638078526,0.8896951027214527,0.6638935108153078,0.7388727920714998,0.559381112714446,0.7621440582667053,0.5761004626208188
6,Sub11,Sub04_Sub09,0.47030751575046864,0.8001540662484868,0.9767944723367691,0.6443381180223285,0.7671432458371347,0.5565498345740282,0.7969321637501678,0.5798102656435539
7,Sub23,Sub17_Sub03,0.4289591703173164,0.8136133714537057,0.964532682299614,0.5924092409240924,0.7935855670223665,0.534579412106425,0.8125940761320753,0.5907177249125879
8,Sub09,Sub02_Sub20,0.2463593352716286,0.9014951627088831,9.05817894935608,0.16363636363636364,0.8972404817914291,0.11295668549905837,0.901631020446868,0.17772962713518436
9,Sub17,Sub03_Sub19,0.43552637850487985,0.8110305427378598,2.1137103736400604,0.4842454394693201,0.7908520189245705,0.4653508455413629,0.8097471251597236,0.5124684415880594
10,Sub22,Sub18_Sub14,0.3434011277618942,0.8540777230432403,0.7627181936055422,0.7416666666666667,0.8376161721124777,0.6592086262658959,0.8534356235317992,0.6654089019953414
11,Sub01,Sub02_Sub22,0.3790615956474851,0.831583552055993,2.1035057581961154,0.4322469982847341,0.8127935794726163,0.45323741007194246,0.8306991124256009,0.37717908629173086
12,Sub18,Sub03_Sub20,0.4564177454777167,0.7955472280392373,3.3205947905778883,0.423841059602649,0.7741501252227558,0.3972224643365583,0.7940784100652258,0.40454404435359176
13,Sub02,Sub03_Sub17,0.3939965248524726,0.8347988568916246,0.6937555782496929,0.654485049833887,0.8221094684545373,0.573625730994152,0.8343379313796073,0.6347497811208254
14,Sub21,Sub18_Sub09,0.28048817078758786,0.8880965441579813,16.400596163676347,0.49586776859504134,0.8804148598144694,0.3333333333333333,0.8880747770184031,0.328752111775718
15,Sub24,Sub02_Sub01,0.20818577243106348,0.9165754324501861,5.133952714502811,0.3360655737704918,0.9142254803581963,0.2824532923217134,0.9166691329171653,0.31113596295029333
16,Sub14,Sub11_Sub17,0.509729219274921,0.7644088264353935,7.720327210426331,0.07288135593220339,0.7284011358490972,0.09019157088122605,0.7609262790635011,0.04426639153615859
17,Sub00,Sub03_Sub14,0.28421084016141757,0.8832269425489765,4.589315588213504,0.49122807017543857,0.8744251157909972,0.3382646028931497,0.88360562012756,0.33529492239263475
18,Sub03,Sub04_Sub20,0.25673414787776033,0.8997463328554097,3.2143792390823362,0.0926517571884984,0.8855949702767063,0.10138611388611389,0.9001982679832191,0.09004263207477477
