fold,test_subjects,val_subjects,train_loss,train_acc,test_loss,test_acc,train_bal_acc,test_bal_acc,train_f1_acc,test_f1_acc
1,Sub20,Sub09_Sub21,0.00019332565511354482,1.0,0.4180216241593371,0.9169329073482428,1.0,0.9144713261648745,1.0,0.917617776807281
2,Sub19,Sub11_Sub22,0.0005774212722413226,0.999890158172232,0.16714468869949145,0.959866220735786,0.9999255952380953,0.9466666666666667,0.9998901639683472,0.9587683322732782
3,Sub04,Sub15_Sub00,0.0003202088237919308,1.0,1.3818173376732659,0.7901639344262295,1.0,0.7276086641166005,1.0,0.7694117005194139
4,Sub15,Sub07_Sub21,0.0008623347555910116,0.9998903147965339,0.1714388683212121,0.9603960396039604,0.999925876510266,0.9488424626781905,0.9998903206127028,0.9598966024812279
5,Sub07,Sub18_Sub15,0.0003658367515934108,1.0,0.09819771311061913,0.9733777038269551,1.0,0.9661215327881995,1.0,0.9732686414525593
6,Sub11,Sub04_Sub09,0.0007031613868285847,0.9998899526796523,0.4089185773378631,0.8835725677830941,0.9998558246828143,0.852991452991453,0.9998899469069017,0.8782091217638911
7,Sub23,Sub17_Sub03,0.0001619743324683212,1.0,0.8873864824032353,0.8316831683168316,1.0,0.7795834785639596,1.0,0.8162555574822973
8,Sub09,Sub02_Sub20,0.00016904277080598818,1.0,0.036555877917928824,0.9900826446280991,1.0,0.9884533898305085,1.0,0.9900647459848879
9,Sub17,Sub03_Sub19,0.0007725378016568192,0.9998901340364755,1.5798352746318414,0.8407960199004975,0.9999256118425947,0.7901209978109739,0.9998901398093845,0.8182781722365996
10,Sub22,Sub18_Sub14,0.0030859622429170804,0.9993431855500821,0.05007728472646704,0.98,0.9993457836006027,0.9731543624161074,0.9993431855500821,0.9797771408918949
11,Sub01,Sub02_Sub22,0.00027152555630128374,1.0,0.6955187733750791,0.8747855917667239,1.0,0.8438114317627425,1.0,0.8705528135102509
12,Sub18,Sub03_Sub20,0.0003599717165407512,0.9998897828722584,0.0693858878736819,0.9867549668874173,0.9999254120981577,0.9878282114682678,0.9998897886367633,0.9867429645940823
13,Sub02,Sub03_Sub17,0.0001699233651417633,1.0,2.1570702647072837,0.6926910299003323,1.0,0.5948245614035087,1.0,0.6639114430683696
14,Sub21,Sub18_Sub09,0.0014708990307630225,0.9996708721887,0.08263505446107047,0.9752066115702479,0.9997083508718223,0.9713978494623657,0.9996708658390236,0.9751713767491378
15,Sub24,Sub02_Sub01,0.00026206336688564544,1.0,0.007739647631189639,0.9983606557377049,1.0,0.9989035087719298,1.0,0.9983619928213661
16,Sub14,Sub11_Sub17,0.00032938779408128553,1.0,0.5045990797954658,0.9067796610169492,1.0,0.8788505747126436,1.0,0.9002259585434094
17,Sub00,Sub03_Sub14,0.00019716732724421964,1.0,6.113341474533081,0.2886762360446571,1.0,0.2671029309505037,1.0,0.287667555591273
18,Sub03,Sub04_Sub20,0.00019597813830765057,1.0,0.7463691860066319,0.8993610223642172,1.0,0.8779255466755468,1.0,0.8971703373641933
