fold,test_subjects,val_subjects,train_loss,train_acc,test_loss,test_acc,train_bal_acc,test_bal_acc,train_f1_acc,test_f1_acc
1,Sub20,Sub09_Sub21,0.6224619758712662,0.714725613108985,5.884230321645736,0.43769968051118213,0.6720074734127112,0.3863575268817205,0.7069230084071663,0.40220530088557416
2,Sub19,Sub11_Sub22,0.6549040141639176,0.6935413005272407,1.0277552254498006,0.5986622073578596,0.6478596545358827,0.5814466815809097,0.6850528788499113,0.598105164694814
3,Sub04,Sub15_Sub00,0.562473865462021,0.7537970504072199,1.0834122061729432,0.5065573770491804,0.716153754114306,0.3801239912351024,0.7490500287047362,0.39275232405222765
4,Sub15,Sub07_Sub21,0.7513512773113651,0.6345289020511133,1.501390853524208,0.6221122112211221,0.581914191607737,0.5709039548022599,0.6226915682872768,0.5323155169446434
5,Sub07,Sub18_Sub15,0.646232717729115,0.7011406010089932,1.475146453268826,0.5873544093178037,0.6539946624230053,0.4987718454385121,0.6931705870359205,0.5541335482287555
6,Sub11,Sub04_Sub09,0.4448410711238082,0.8064267635083086,1.0761106878519058,0.5103668261562998,0.786185758053037,0.35053763440860214,0.8047900949178819,0.3619482073743753
7,Sub23,Sub17_Sub03,0.6404444039701582,0.6976028150428855,1.0234471082687377,0.5198019801980198,0.6540153195757968,0.36402056465667476,0.6888027634316998,0.38187500597654545
8,Sub09,Sub02_Sub20,0.5667067057602889,0.7436235708003518,1.3776658654212952,0.5537190082644629,0.7069356536439054,0.4510193032015066,0.7385947986080044,0.47716371360899884
9,Sub17,Sub03_Sub19,0.5896203374112403,0.7377499450670182,2.256900343298912,0.5406301824212272,0.6924681694336821,0.5092603016525944,0.7302598257670321,0.5349066054460523
10,Sub22,Sub18_Sub14,0.6086492346716927,0.7169129720853858,3.576906702294946,0.5883333333333334,0.6750737928397142,0.47730981091254776,0.7101921061277154,0.5118495375638704
11,Sub01,Sub02_Sub22,0.6219931947184609,0.7131452318460193,1.6767813486978411,0.49056603773584906,0.6680675954426573,0.42529877027170837,0.7056242154592106,0.42984696069984213
12,Sub18,Sub03_Sub20,0.6371951308888448,0.700540063925934,0.9880734294652939,0.6754966887417219,0.6487409526579283,0.639686273340459,0.6895064064532005,0.6764144905587798
13,Sub02,Sub03_Sub17,0.5885216351989266,0.7374148164431743,1.1294456779956819,0.5083056478405316,0.6947312382780145,0.4907894736842105,0.7314247959922124,0.4823113771912711
14,Sub21,Sub18_Sub09,0.6191601811589061,0.7098189797037849,2.040147179365158,0.4975206611570248,0.6655676403070503,0.47444444444444445,0.7024416826346869,0.4533556291603692
15,Sub24,Sub02_Sub01,0.5882495135277301,0.731552441427633,1.1865986227989196,0.46557377049180326,0.6866869207895817,0.479223627249943,0.7249505096970019,0.42536800153197074
16,Sub14,Sub11_Sub17,0.6558706597848372,0.6950268964760128,0.8470691531896591,0.6711864406779661,0.6571519914684628,0.5860536398467433,0.6887966850150613,0.5979168103861163
17,Sub00,Sub03_Sub14,0.6600616400090742,0.6933744221879815,2.995730796456337,0.45614035087719296,0.6393802467795628,0.3105320304017372,0.6802251550523826,0.3197148121445165
18,Sub03,Sub04_Sub20,0.6648469720508011,0.6911878239770597,3.4490517556667326,0.29233226837060705,0.6376413226329686,0.36431623931623935,0.6762082534794059,0.18423779048330322
