fold,test_subjects,val_subjects,train_loss,train_acc,test_loss,test_acc,train_bal_acc,test_bal_acc,train_f1_acc,test_f1_acc
1,Sub20,Sub09_Sub21,0.40681984565324253,0.8279995601011767,0.2115849234163761,0.9249201277955271,0.8110094640700668,0.9030310862972154,0.8277992425356553,0.924590649644906
2,Sub19,Sub11_Sub22,0.430667445063591,0.812829525483304,0.25491188168525697,0.9280936454849499,0.7898900556002949,0.9055480984340045,0.8116124274816053,0.9262497263481838
3,Sub04,Sub15_Sub00,0.3035478033650089,0.8758529605987233,2.049544620513916,0.36065573770491804,0.8579244596318691,0.3064736556800049,0.8756362288908672,0.3392976428609749
4,Sub15,Sub07_Sub21,0.3907591679857837,0.8365690468355819,0.6373202055692673,0.7574257425742574,0.8237517585094419,0.7200050510719498,0.8362544758114716,0.7421602465099061
5,Sub07,Sub18_Sub15,0.31452931339542073,0.8699276157051985,0.7807654857635498,0.6089850249584027,0.8593740374186379,0.5491390091390091,0.869762755119202,0.6340556969252376
6,Sub11,Sub04_Sub09,0.3838471921396927,0.8399911962143721,1.4803215861320496,0.580542264752791,0.8209282021859279,0.4755634822167081,0.8397328555891823,0.5037580860603644
7,Sub23,Sub17_Sub03,0.2761761417819394,0.8901473499010336,0.5669460833072663,0.7458745874587459,0.8787550361491574,0.6916899035668642,0.889978878779187,0.7514152510018145
8,Sub09,Sub02_Sub20,0.4350379303925567,0.8121152154793315,0.5783580243587494,0.7570247933884298,0.7918245512334275,0.7456191148775894,0.8114786178087199,0.7570987285373892
9,Sub17,Sub03_Sub19,0.3706659666366047,0.8421226104152933,0.40118607878685,0.845771144278607,0.8253103808424913,0.8245656828077266,0.8418966746914498,0.8441176075528383
10,Sub22,Sub18_Sub14,0.40369251949919593,0.8268199233716476,0.6830183357000351,0.6883333333333334,0.8102223004473174,0.7017939621336793,0.8266925267869275,0.7031310259429895
11,Sub01,Sub02_Sub22,0.415409149395095,0.8160542432195975,0.6717282712459565,0.6998284734133791,0.7978205682168241,0.6870223119749813,0.8155625993565508,0.7016873532848849
12,Sub18,Sub03_Sub20,0.36868516324271616,0.8487821007384547,1.1748214066028595,0.5182119205298014,0.8317391825658724,0.4536956332258346,0.8483568573218833,0.5046943213483219
13,Sub02,Sub03_Sub17,0.34804487725098926,0.8540338535941965,0.8191712439060211,0.6528239202657807,0.8386643398709835,0.6337426900584795,0.8537991301480296,0.6678938002294169
14,Sub21,Sub18_Sub09,0.373980359484752,0.8400438837081733,0.46131535768508913,0.8099173553719008,0.8258733185027526,0.7882437275985663,0.8399488093405668,0.8155431156726686
15,Sub24,Sub02_Sub01,0.43053388388620484,0.8172761112327568,0.20393694546073676,0.9147540983606557,0.7993870369069574,0.8936830713146503,0.8167175295883672,0.9121426127424649
16,Sub14,Sub11_Sub17,0.3717300680776437,0.8435613129871555,0.804793715942651,0.6423728813559322,0.8269307904348374,0.5429118773946361,0.8432718706253961,0.5916642989139991
17,Sub00,Sub03_Sub14,0.3142709986005031,0.8751926040061633,1.4194340348243712,0.45773524720893144,0.8578104646113763,0.40935296667018345,0.8747654281403126,0.4507913313671713
18,Sub03,Sub04_Sub20,0.316245113879862,0.8759236792764972,2.0198742151260376,0.3274760383386581,0.8605182871311103,0.3481185481185481,0.8757909383027005,0.3301178888929362
