fold,test_subjects,val_subjects,train_loss,train_acc,test_loss,test_acc,train_bal_acc,test_bal_acc,train_f1_acc,test_f1_acc
1,Sub20,Sub09_Sub21,0.0006101774791971749,1.0,0.3424128137296066,0.9185303514376997,1.0,0.9049851805900193,1.0,0.9166800311254679
2,Sub19,Sub11_Sub22,0.001195779184485587,0.999670474516696,0.23509360150783323,0.9481605351170569,0.9996372392091968,0.9531841909023117,0.9996704810745868,0.9486435737341875
3,Sub04,Sub15_Sub00,0.001264597332497225,0.9997798811358133,1.100538380816579,0.840983606557377,0.9998516210401366,0.7965482489292013,0.9997799046535534,0.8260484540425758
4,Sub15,Sub07_Sub21,0.0005225415276593982,1.0,0.11681592501157922,0.9752475247524752,1.0,0.9673841059602649,1.0,0.9751695217449805
5,Sub07,Sub18_Sub15,0.0010657475751457725,0.9997806536521167,0.1763464930150235,0.9534109816971714,0.9997113355931525,0.9408433541766875,0.9997806542747352,0.9531780632643697
6,Sub11,Sub04_Sub09,0.014859607161295725,0.9950478705843513,0.1382949011400342,0.9441786283891547,0.9952470820807804,0.9362179487179487,0.9950482093990265,0.9432630437296419
7,Sub23,Sub17_Sub03,0.0007901893991179572,0.9998900373872883,2.0672896571401,0.6864686468646864,0.9998553868402024,0.5833333333333334,0.9998900315979027,0.6217955029556828
8,Sub09,Sub02_Sub20,0.0010043382785847603,0.9997801231310466,0.10818313589029457,0.9801652892561984,0.9997820453542959,0.9777212806026365,0.9997801232809412,0.9801174935786978
9,Sub17,Sub03_Sub19,0.0005702748863781368,0.9998901340364755,0.1968358848029311,0.9485903814262023,0.9998555122092183,0.9410439970171515,0.9998901282570377,0.9478027985444758
10,Sub22,Sub18_Sub14,0.0007445710056650264,0.9997810618500274,0.1259859798972684,0.9683333333333334,0.9997122072455693,0.9621161062405514,0.9997810625268754,0.9681415348431396
11,Sub01,Sub02_Sub22,0.0003787090466691037,1.0,1.1987939633428866,0.8284734133790738,1.0,0.7918738280789196,1.0,0.8172039436529905
12,Sub18,Sub03_Sub20,0.0007513479484093206,0.9997795657445167,0.15123075005794817,0.9834437086092715,0.9998508241963154,0.9845166607794655,0.9997795650108549,0.9834253947998959
13,Sub02,Sub03_Sub17,0.0006312449697832091,0.9998900857331282,2.948705205321312,0.6395348837209303,0.9998555122092183,0.5389181286549708,0.9998900799538871,0.5996372966572272
14,Sub21,Sub18_Sub09,0.0010764075983846393,0.9998902907295667,0.45870535687936353,0.9190082644628099,0.9999258600237247,0.8964157706093189,0.9998902964226655,0.916093039018676
15,Sub24,Sub02_Sub01,0.00037233661337554336,0.9998905189402233,0.03685715658230038,0.9967213114754099,0.9998553868402024,0.9967105263157895,0.9998905131355064,0.9967213114754099
16,Sub14,Sub11_Sub17,0.0010316849222770136,0.9996706553957624,0.16355126339476556,0.9593220338983051,0.9995676552126219,0.9573946360153257,0.9996706511120185,0.9591663886636818
17,Sub00,Sub03_Sub14,0.0005887823995245001,1.0,4.21814980506897,0.3444976076555024,1.0,0.3707012151146996,1.0,0.33922777028040185
18,Sub03,Sub04_Sub20,0.00031350068385224185,1.0,0.8297388795646838,0.853035143769968,1.0,0.8178744866244867,1.0,0.847302055071088
